# Fit results:
# amplitude = 45.6846
# peak_pos[pc] = 5.6041
# width_left[pc] = 2.2724
# width_right[pc] = 1.5474
# chi_sq = 1.223
# ########################
# Dist[pc]    flux    flux_std    dist[pix]
   0.00   -2.38    2.93    0.00
   0.28    0.39    4.48    0.71
   0.56    1.99    6.17    1.43
   0.85    2.73    7.72    2.14
   1.13    3.01    8.54    2.85
   1.41    3.48    8.88    3.56
   1.69    4.32    9.03    4.28
   1.98    5.93    8.67    4.99
   2.26    7.70    7.85    5.70
   2.54    9.85    6.82    6.42
   2.82   13.92    5.71    7.13
   3.11   18.70    4.57    7.84
   3.39   23.23    3.59    8.55
   3.67   27.93    2.88    9.27
   3.95   31.93    2.32    9.98
   4.23   35.18    2.10   10.69
   4.52   37.73    2.15   11.41
   4.80   39.22    1.97   12.12
   5.08   39.86    1.65   12.83
   5.36   39.55    0.95   13.54
   5.65   38.40    0.31   14.26
   5.93   35.55    1.61   14.97
   6.21   31.70    3.17   15.68
   6.49   26.48    4.78   16.39
   6.77   20.17    6.25   17.11
   7.06   13.43    7.35   17.82
   7.34    6.49    8.21   18.53
   7.62   -0.17    8.91   19.25
