# Fit results:
# amplitude = 95.3784
# peak_pos[pc] = 4.3698
# width_left[pc] = 2.1092
# width_right[pc] = 3.0235
# chi_sq = 7.623
# ########################
# Dist[pc]    flux    flux_std    dist[pix]
   0.00   -3.07    9.17    0.00
   0.28   -0.38   10.41    0.70
   0.55    3.45   12.16    1.39
   0.83    7.93   14.23    2.09
   1.10   14.69   16.47    2.79
   1.38   22.26   18.66    3.48
   1.65   30.73   20.55    4.18
   1.93   40.27   21.59    4.88
   2.21   50.16   22.01    5.57
   2.48   59.93   21.73    6.27
   2.76   68.88   20.69    6.96
   3.03   76.99   19.06    7.66
   3.31   80.23   16.89    8.36
   3.59   82.41   14.47    9.05
   3.86   83.98   11.90    9.75
   4.14   84.93    9.19   10.45
   4.41   84.86    6.84   11.14
   4.69   83.86    5.44   11.84
   4.96   81.65    5.34   12.54
   5.24   80.59    6.21   13.23
   5.52   75.98    7.40   13.93
   5.79   70.04    8.28   14.63
   6.07   64.06    9.00   15.32
   6.34   57.75    9.50   16.02
   6.62   50.97    9.75   16.72
   6.90   43.90    9.82   17.41
   7.17   36.80    9.69   18.11
   7.45   30.45    9.49   18.80
   7.72   24.26    9.03   19.50
   8.00   18.14    8.46   20.20
   8.27   14.39    7.73   20.89
   8.55   10.99    6.83   21.59
   8.83    8.12    5.92   22.29
   9.10    5.55    5.22   22.98
   9.38    3.69    4.52   23.68
   9.65    2.13    3.95   24.38
   9.93    1.30    3.77   25.07
  10.20    0.75    3.62   25.77
  10.48    0.43    3.49   26.47
  10.76    0.33    3.46   27.16
  11.03   -0.07    3.35   27.86
