# Fit results:
# amplitude = 117.2885
# peak_pos[pc] = 6.4088
# width_left[pc] = 2.6111
# width_right[pc] = 2.2884
# chi_sq = 20.139
# ########################
# Dist[pc]    flux    flux_std    dist[pix]
   0.00   -1.07   14.36    0.00
   0.27    0.34   14.06    0.69
   0.55    0.74   13.03    1.39
   0.82   -0.10   11.94    2.08
   1.10   -0.28   10.83    2.77
   1.37    0.57   10.47    3.46
   1.65    2.67   10.11    4.16
   1.92    5.86    9.86    4.85
   2.19    9.92   10.06    5.54
   2.47   15.05    9.85    6.23
   2.74   21.81    9.53    6.93
   3.02   29.29    8.71    7.62
   3.29   37.49    7.50    8.31
   3.57   47.80    6.37    9.00
   3.84   59.32    6.15    9.70
   4.11   71.65    6.47   10.39
   4.39   82.89    7.11   11.08
   4.66   91.14    6.88   11.77
   4.94   97.15    5.96   12.47
   5.21  100.03    4.07   13.16
   5.49   99.15    1.61   13.85
   5.76  102.16    4.38   14.54
   6.03  105.70    8.25   15.24
   6.31  106.78   11.22   15.93
   6.58  106.04   12.66   16.62
   6.86  102.52   13.04   17.32
   7.13   94.25   12.94   18.01
   7.41   84.64   12.64   18.70
   7.68   73.98   11.20   19.39
   7.95   64.24    9.39   20.09
   8.23   55.41    7.40   20.78
   8.50   47.30    6.37   21.47
   8.78   38.89    5.95   22.16
   9.05   29.81    5.76   22.86
   9.33   20.47    4.57   23.55
   9.60   12.11    2.79   24.24
   9.87    4.41    1.15   24.93
  10.15   -0.16    2.68   25.63
