# Fit results:
# amplitude = 66.5569
# peak_pos[pc] = 6.2975
# width_left[pc] = 2.9400
# width_right[pc] = 2.9339
# chi_sq = 0.873
# ########################
# Dist[pc]    flux    flux_std    dist[pix]
   0.00   -0.78    7.00    0.00
   0.28   -0.10    7.11    0.69
   0.55    0.88    7.17    1.39
   0.83    2.33    7.11    2.08
   1.10    3.48    6.92    2.78
   1.38    5.87    6.67    3.47
   1.65    7.80    6.37    4.17
   1.93   11.45    6.17    4.86
   2.20   14.26    6.19    5.56
   2.48   17.59    6.23    6.25
   2.75   21.66    6.25    6.94
   3.03   26.41    6.22    7.64
   3.30   30.12    6.11    8.33
   3.58   35.16    5.88    9.03
   3.85   39.36    5.62    9.72
   4.13   43.88    5.52   10.42
   4.40   48.20    5.31   11.11
   4.68   52.21    4.99   11.81
   4.95   55.15    4.80   12.50
   5.23   58.32    4.43   13.20
   5.50   61.18    3.88   13.89
   5.78   62.27    3.49   14.58
   6.05   62.63    2.95   15.28
   6.33   62.71    2.40   15.97
   6.60   61.19    2.04   16.67
   6.88   59.04    1.61   17.36
   7.15   54.92    1.60   18.06
   7.43   50.55    1.84   18.75
   7.70   45.90    2.35   19.45
   7.98   41.59    2.85   20.14
   8.25   37.11    3.17   20.83
   8.53   32.67    3.42   21.53
   8.80   28.14    3.43   22.22
   9.08   23.86    3.34   22.92
   9.35   19.98    3.22   23.61
   9.63   16.45    3.16   24.31
   9.90   13.30    3.23   25.00
  10.18   10.06    3.40   25.70
  10.45    6.70    3.67   26.39
  10.73    3.29    3.92   27.08
  11.00   -0.08    4.03   27.78
