# Fit results:
# amplitude = 43.3771
# peak_pos[pc] = 9.0124
# width_left[pc] = 6.1350
# width_right[pc] = 3.0041
# chi_sq = 9.320
# ########################
# Dist[pc]    flux    flux_std    dist[pix]
   0.00   -0.02   10.45    0.00
   0.27   -0.04    8.66    0.69
   0.54    0.06    7.14    1.37
   0.82    1.84    5.96    2.06
   1.09    3.80    5.09    2.75
   1.36    6.22    4.52    3.43
   1.63    8.46    4.16    4.12
   1.90   11.13    4.02    4.81
   2.18   14.59    4.13    5.49
   2.45   17.41    4.50    6.18
   2.72   20.07    5.16    6.87
   2.99   22.46    6.11    7.55
   3.26   24.21    7.20    8.24
   3.53   25.76    8.43    8.93
   3.81   27.06    9.76    9.61
   4.08   27.88   11.05   10.30
   4.35   28.42   12.21   10.99
   4.62   29.16   13.13   11.67
   4.89   30.12   13.60   12.36
   5.17   31.15   13.63   13.05
   5.44   32.73   13.37   13.73
   5.71   34.38   12.79   14.42
   5.98   34.89   12.06   15.11
   6.25   35.72   11.42   15.79
   6.53   35.59   10.90   16.48
   6.80   36.82   10.51   17.17
   7.07   36.77   10.24   17.85
   7.34   37.14   10.07   18.54
   7.61   38.09    9.99   19.23
   7.89   38.93    9.89   19.91
   8.16   39.76    9.72   20.60
   8.43   40.59    9.51   21.29
   8.70   41.01    9.24   21.97
   8.97   41.26    8.99   22.66
   9.24   41.64    8.85   23.35
   9.52   40.49    8.79   24.03
   9.79   38.71    8.92   24.72
  10.06   36.87    9.19   25.41
  10.33   34.32    9.55   26.09
  10.60   31.42    9.92   26.78
  10.88   28.47   10.24   27.47
  11.15   25.13   10.47   28.15
  11.42   21.81   10.59   28.84
  11.69   18.55   10.69   29.53
  11.96   16.11   10.76   30.21
  12.24   13.54   10.78   30.90
  12.51   10.88   10.82   31.59
  12.78    7.97   10.84   32.27
  13.05    5.18   10.64   32.96
  13.32    2.96   10.24   33.64
  13.60    1.51    9.68   34.33
  13.87    0.28    8.94   35.02
