# Fit results:
# amplitude = 31.4155
# peak_pos[pc] = 6.0675
# width_left[pc] = 2.9029
# width_right[pc] = 6.7265
# chi_sq = 6.735
# ########################
# Dist[pc]    flux    flux_std    dist[pix]
   0.00   -1.19    9.65    0.00
   0.27   -0.12   10.87    0.69
   0.55    1.32   11.39    1.38
   0.82    3.18   11.11    2.08
   1.10    4.64   10.21    2.77
   1.37    5.10    8.93    3.46
   1.65    4.71    7.20    4.15
   1.92    4.77    5.61    4.85
   2.19    5.61    4.73    5.54
   2.47    7.70    4.37    6.23
   2.74   10.13    4.26    6.92
   3.02   12.83    4.07    7.62
   3.29   16.04    3.78    8.31
   3.56   19.04    3.45    9.00
   3.84   22.01    3.45    9.69
   4.11   24.28    4.70   10.39
   4.39   25.52    6.86   11.08
   4.66   24.17    9.77   11.77
   4.94   21.92   13.08   12.46
   5.21   20.95   16.40   13.16
   5.48   22.78   19.38   13.85
   5.76   25.91   21.21   14.54
   6.03   29.32   21.60   15.23
   6.31   32.80   20.44   15.92
   6.58   34.41   18.27   16.62
   6.85   32.79   15.94   17.31
   7.13   31.22   14.16   18.00
   7.40   28.68   13.09   18.69
   7.68   27.37   12.46   19.39
   7.95   27.06   11.83   20.08
   8.23   27.52   11.18   20.77
   8.50   27.14   10.82   21.46
   8.77   26.98   11.13   22.16
   9.05   27.15   12.03   22.85
   9.32   27.77   13.05   23.54
   9.60   27.75   13.64   24.23
   9.87   23.98   13.39   24.93
  10.14   20.65   12.63   25.62
  10.42   15.40   11.77   26.31
  10.69   11.13   10.93   27.00
  10.97    5.54   10.49   27.70
  11.24    0.25   10.64   28.39
