# Fit results:
# amplitude = 200.3514
# peak_pos[pc] = 9.8477
# width_left[pc] = 5.6660
# width_right[pc] = 1.2837
# chi_sq = 134.988
# ########################
# Dist[pc]    flux    flux_std    dist[pix]
   0.00   -8.66    3.73    0.00
   0.27    0.21    2.38    0.68
   0.54    8.45    0.63    1.37
   0.81   15.70    0.79    2.05
   1.08   22.00    1.44    2.73
   1.35   27.91    1.92    3.42
   1.62   34.11    2.60    4.10
   1.89   40.70    3.68    4.78
   2.16   46.52    5.97    5.47
   2.44   53.14    8.64    6.15
   2.71   60.77   11.77    6.83
   2.98   70.54   13.82    7.52
   3.25   80.73   15.20    8.20
   3.52   90.99   15.57    8.88
   3.79   98.62   15.17    9.57
   4.06  105.07   14.43   10.25
   4.33  110.11   12.98   10.93
   4.60  114.58   11.84   11.62
   4.87  118.27   11.10   12.30
   5.14  120.91   10.55   12.98
   5.41  121.05   10.29   13.67
   5.68  120.28    8.96   14.35
   5.95  118.73    7.01   15.03
   6.22  120.24    4.44   15.72
   6.49  124.08    2.83   16.40
   6.76  132.47    2.27   17.08
   7.03  143.43    2.26   17.77
   7.31  155.08    2.84   18.45
   7.58  168.50    3.41   19.13
   7.85  182.48    3.72   19.81
   8.12  196.67    4.51   20.50
   8.39  208.06    5.24   21.18
   8.66  215.54    5.96   21.86
   8.93  217.26    7.27   22.55
   9.20  212.18    6.98   23.23
   9.47  200.20    7.70   23.91
   9.74  183.99    6.72   24.60
  10.01  163.46    4.61   25.28
  10.28  140.37    1.93   25.96
  10.55  117.62    1.02   26.65
  10.82   95.91    3.09   27.33
  11.09   76.40    4.79   28.01
  11.36   58.90    5.88   28.70
  11.63   45.62    6.62   29.38
  11.91   34.28    7.73   30.06
  12.18   24.81    8.63   30.75
  12.45   19.25    9.31   31.43
  12.72   15.11    9.94   32.11
  12.99   12.50   10.56   32.80
  13.26   10.54   11.32   33.48
  13.53    8.48   12.14   34.16
  13.80    6.24   12.42   34.85
  14.07    3.92   11.87   35.53
  14.34    1.83   10.19   36.21
  14.61    0.10    8.24   36.90
