# Fit results:
# amplitude = 158.7208
# peak_pos[pc] = 8.4379
# width_left[pc] = 4.0166
# width_right[pc] = 3.2839
# chi_sq = 21.973
# ########################
# Dist[pc]    flux    flux_std    dist[pix]
   0.00   -4.17    1.94    0.00
   0.27    0.03    0.98    0.68
   0.54    4.14    0.20    1.37
   0.81    7.98    1.51    2.05
   1.08   11.64    3.05    2.74
   1.35   14.16    4.43    3.42
   1.62   15.71    5.43    4.10
   1.90   15.91    6.50    4.79
   2.17   15.88    7.77    5.47
   2.44   17.11   10.02    6.15
   2.71   20.04   12.41    6.84
   2.98   26.84   14.81    7.52
   3.25   35.04   16.52    8.21
   3.52   44.43   17.04    8.89
   3.79   54.24   16.92    9.57
   4.06   63.73   16.25   10.26
   4.33   72.77   15.08   10.94
   4.60   79.64   12.99   11.63
   4.87   85.05   10.48   12.31
   5.15   89.37    8.24   12.99
   5.42   94.06    7.28   13.68
   5.69   99.44    7.43   14.36
   5.96  105.25    8.45   15.05
   6.23  110.43   10.11   15.73
   6.50  115.75   12.17   16.41
   6.77  121.80   14.59   17.10
   7.04  130.46   17.00   17.78
   7.31  140.81   19.50   18.46
   7.58  151.37   21.57   19.15
   7.85  160.35   23.21   19.83
   8.12  165.75   23.51   20.52
   8.40  168.66   22.92   21.20
   8.67  168.01   20.81   21.88
   8.94  163.24   17.60   22.57
   9.21  155.92   14.24   23.25
   9.48  145.75   11.38   23.94
   9.75  133.54    8.72   24.62
  10.02  120.71    6.22   25.30
  10.29  107.40    3.81   25.99
  10.56   93.63    1.93   26.67
  10.83   81.60    2.06   27.35
  11.10   70.96    3.44   28.04
  11.37   62.02    4.45   28.72
  11.64   53.79    5.07   29.41
  11.92   46.99    4.97   30.09
  12.19   42.60    4.38   30.77
  12.46   38.58    3.61   31.46
  12.73   34.33    2.97   32.14
  13.00   29.97    2.70   32.83
  13.27   25.95    3.60   33.51
  13.54   20.75    4.78   34.19
  13.81   15.65    4.64   34.88
  14.08    9.60    3.91   35.56
  14.35    3.71    2.71   36.24
  14.62   -0.58    1.83   36.93
