# Fit results:
# amplitude = 39.3753
# peak_pos[pc] = 8.3415
# width_left[pc] = 4.4081
# width_right[pc] = 3.8971
# chi_sq = 7.209
# ########################
# Dist[pc]    flux    flux_std    dist[pix]
   0.00   -2.48   13.16    0.00
   0.27    0.21   13.16    0.68
   0.54    2.27   13.19    1.36
   0.81    3.83   12.78    2.05
   1.08    5.16   12.26    2.73
   1.35    6.36   11.57    3.41
   1.62    7.50   10.65    4.09
   1.89    8.57    9.49    4.78
   2.16    9.62    7.95    5.46
   2.43   10.60    6.23    6.14
   2.70   11.58    4.41    6.82
   2.97   12.50    2.51    7.50
   3.24   14.21    0.90    8.19
   3.51   14.14    1.06    8.87
   3.78   14.73    2.07    9.55
   4.05   15.18    2.73   10.23
   4.32   15.79    2.81   10.92
   4.59   17.45    2.56   11.60
   4.86   19.07    2.23   12.28
   5.13   20.72    2.06   12.96
   5.40   22.86    2.61   13.64
   5.67   25.22    3.62   14.33
   5.94   27.08    4.68   15.01
   6.21   30.16    5.59   15.69
   6.48   33.37    6.33   16.37
   6.75   36.10    6.78   17.06
   7.02   38.76    6.86   17.74
   7.29   41.32    6.76   18.42
   7.56   42.85    6.41   19.10
   7.83   43.89    5.86   19.78
   8.10   44.45    5.38   20.47
   8.37   43.24    4.90   21.15
   8.65   41.58    4.33   21.83
   8.92   39.45    3.84   22.51
   9.19   36.38    3.47   23.20
   9.46   33.34    3.12   23.88
   9.73   30.43    2.91   24.56
  10.00   28.02    2.84   25.24
  10.27   26.03    2.86   25.92
  10.54   23.99    2.91   26.61
  10.81   22.18    2.90   27.29
  11.08   20.61    2.82   27.97
  11.35   19.29    2.73   28.65
  11.62   18.31    2.55   29.34
  11.89   17.58    2.21   30.02
  12.16   16.56    2.05   30.70
  12.43   15.28    2.13   31.38
  12.70   13.53    2.62   32.06
  12.97   10.62    3.03   32.75
  13.24    7.99    3.63   33.43
  13.51    4.00    4.21   34.11
  13.78   -0.14    4.33   34.79
