# Fit results:
# amplitude = 106.0860
# peak_pos[pc] = 6.7707
# width_left[pc] = 2.9961
# width_right[pc] = 4.1241
# chi_sq = 4.308
# ########################
# Dist[pc]    flux    flux_std    dist[pix]
   0.00   -3.22   13.51    0.00
   0.27    0.12   12.90    0.69
   0.55    3.10   12.25    1.38
   0.82    5.84   11.69    2.07
   1.09    7.74   11.26    2.76
   1.36    9.13   10.84    3.44
   1.64   10.21   10.25    4.13
   1.91   12.45    9.29    4.82
   2.18   14.93    8.00    5.51
   2.46   17.75    6.47    6.20
   2.73   22.74    4.87    6.89
   3.00   29.88    3.47    7.58
   3.27   36.80    2.51    8.27
   3.55   43.41    2.39    8.96
   3.82   49.14    3.31    9.65
   4.09   54.53    4.57   10.33
   4.37   62.88    5.70   11.02
   4.64   71.21    6.40   11.71
   4.91   79.24    6.43   12.40
   5.18   86.54    5.92   13.09
   5.46   91.21    4.97   13.78
   5.73   95.25    3.87   14.47
   6.00   98.21    2.84   15.16
   6.28  101.24    2.19   15.85
   6.55  103.33    2.44   16.53
   6.82  102.77    3.15   17.22
   7.09  100.05    3.90   17.91
   7.37   96.68    4.65   18.60
   7.64   93.33    5.27   19.29
   7.91   89.83    5.88   19.98
   8.18   85.93    6.47   20.67
   8.46   82.00    6.88   21.36
   8.73   77.27    7.18   22.05
   9.00   72.29    7.50   22.74
   9.28   67.98    7.73   23.42
   9.55   63.49    7.88   24.11
   9.82   58.91    8.03   24.80
  10.09   54.13    8.14   25.49
  10.37   48.87    8.21   26.18
  10.64   43.00    8.32   26.87
  10.91   36.79    8.57   27.56
  11.19   30.13    9.06   28.25
  11.46   23.39    9.71   28.94
  11.73   18.39   10.33   29.63
  12.00   13.42   10.77   30.31
  12.28    9.83   10.85   31.00
  12.55    6.47   10.54   31.69
  12.82    2.27    9.81   32.38
  13.10    0.27    8.72   33.07
