22.668 8.30  0.99
22.967 8.30  0.99
23.267 7.17  0.99
23.566 8.14  1.05
23.865 8.14  1.05
24.164 8.14  1.05
24.464 8.14  1.05
24.763 8.14  1.05
25.062 8.06  0.92
25.361 13.61  2.18
25.661 13.61  2.18
25.960 14.06  2.16
26.259 14.06  2.16
26.558 16.38  2.97
26.858 24.68  2.23
27.157 24.68  2.23
27.456 24.68  2.23
27.755 26.33  1.96
28.055 25.19  2.84
28.354 25.19  2.84
28.653 26.09  2.45
28.952 26.09  2.45
29.252 26.35  3.37
29.551 26.35  3.37
29.850 24.50  4.25
30.149 24.50  4.25
30.449 23.99  2.92
30.748 23.99  2.92
31.047 22.42  3.84
31.346 22.42  3.84
31.646 22.42  3.84
31.945 22.42  3.84
32.244 22.42  3.84
32.543 22.42  3.84
32.843 21.76  3.03
33.142 25.66  4.74
33.441 25.66  4.74
33.740 23.43  3.61
34.040 23.43  3.61
34.339 23.43  3.61
34.638 23.43  3.61
34.937 23.43  3.61
35.237 25.69  3.85
35.536 21.97  3.06
35.835 21.26  2.34
36.134 21.29  3.81
36.434 19.83  2.78
36.733 19.83  2.78
37.032 19.83  2.78
37.331 19.83  2.78
