# Fit results:
# amplitude = 96.5665
# peak_pos[pc] = 4.8134
# width_left[pc] = 2.6146
# width_right[pc] = 4.6759
# chi_sq = 11.083
# ########################
# Dist[pc]    flux    flux_std    dist[pix]
   0.00   -5.23    4.46    0.00
   0.27   -0.01    5.02    0.69
   0.54    5.24    5.79    1.37
   0.82   10.58    6.32    2.06
   1.09   16.27    6.33    2.75
   1.36   22.55    6.06    3.44
   1.63   30.25    5.63    4.12
   1.91   37.84    5.08    4.81
   2.18   44.38    4.48    5.50
   2.45   51.39    3.94    6.19
   2.72   57.72    3.54    6.87
   2.99   63.85    3.51    7.56
   3.27   70.27    3.89    8.25
   3.54   75.98    4.38    8.94
   3.81   81.11    4.83    9.62
   4.08   84.58    5.23   10.31
   4.36   87.47    5.42   11.00
   4.63   89.47    5.45   11.69
   4.90   90.96    5.52   12.37
   5.17   91.59    5.59   13.06
   5.44   91.58    5.62   13.75
   5.72   90.20    5.32   14.44
   5.99   87.23    4.64   15.12
   6.26   84.03    3.75   15.81
   6.53   81.03    3.07   16.50
   6.81   77.17    3.10   17.19
   7.08   73.17    3.89   17.87
   7.35   69.45    4.87   18.56
   7.62   65.80    5.67   19.25
   7.89   62.11    6.45   19.94
   8.17   57.68    7.29   20.62
   8.44   53.05    8.23   21.31
   8.71   47.99    9.34   22.00
   8.98   43.51   10.40   22.69
   9.26   39.36   11.10   23.37
   9.53   35.63   11.38   24.06
   9.80   31.28   11.12   24.75
  10.07   26.45   10.36   25.44
  10.35   21.60    9.38   26.12
  10.62   15.65    8.36   26.81
  10.89    9.88    7.41   27.50
  11.16    4.70    6.72   28.19
  11.43   -0.09    6.33   28.87
