# Fit results:
# amplitude = 66.2364
# peak_pos[pc] = 10.5040
# width_left[pc] = 7.1998
# width_right[pc] = 1.8340
# chi_sq = 10.723
# ########################
# Dist[pc]    flux    flux_std    dist[pix]
   0.00   -3.32   11.07    0.00
   0.27   -0.13   10.91    0.68
   0.54    3.45   10.73    1.36
   0.81    7.21   10.52    2.04
   1.08   10.89   10.26    2.72
   1.35   14.38   10.00    3.40
   1.61   17.72    9.81    4.08
   1.88   20.53    9.74    4.76
   2.15   23.27    9.83    5.44
   2.42   25.91   10.19    6.12
   2.69   27.90   10.71    6.80
   2.96   29.50   11.22    7.47
   3.23   30.91   11.63    8.15
   3.50   31.96   11.79    8.83
   3.77   32.62   11.59    9.51
   4.04   33.64   11.02   10.19
   4.31   34.83   10.16   10.87
   4.57   36.15    9.05   11.55
   4.84   37.50    7.83   12.23
   5.11   38.98    6.52   12.91
   5.38   40.39    4.98   13.59
   5.65   41.52    3.13   14.27
   5.92   42.73    1.29   14.95
   6.19   45.08    2.42   15.63
   6.46   45.73    5.07   16.31
   6.73   48.30    7.63   16.99
   7.00   51.11    9.70   17.67
   7.27   54.13   11.32   18.35
   7.53   57.33   12.53   19.03
   7.80   60.50   13.22   19.71
   8.07   63.62   13.37   20.39
   8.34   65.85   13.06   21.07
   8.61   67.34   12.31   21.75
   8.88   68.50   11.13   22.42
   9.15   68.84    9.66   23.10
   9.42   68.13    7.96   23.78
   9.69   65.02    6.03   24.46
   9.96   62.52    4.01   25.14
  10.23   61.84    2.66   25.82
  10.49   60.85    3.81   26.50
  10.76   57.30    6.55   27.18
  11.03   52.47    9.50   27.86
  11.30   47.14   12.22   28.54
  11.57   41.68   14.56   29.22
  11.84   35.97   16.30   29.90
  12.11   30.17   17.50   30.58
  12.38   24.54   18.29   31.26
  12.65   18.81   18.65   31.94
  12.92   13.53   18.78   32.62
  13.19    8.42   18.84   33.30
  13.45    3.53   18.84   33.98
  13.72   -0.03   18.64   34.66
