# Fit results:
# amplitude = 40.8933
# peak_pos[pc] = 6.6469
# width_left[pc] = 1.3299
# width_right[pc] = 5.1806
# chi_sq = 1.345
# ########################
# Dist[pc]    flux    flux_std    dist[pix]
   3.26   -0.67    4.16    8.24
   3.54   -0.36    2.98    8.93
   3.81    0.24    2.58    9.62
   4.08    2.48    2.95   10.30
   4.35    6.01    3.71   10.99
   4.62   10.17    4.39   11.68
   4.90   14.56    4.95   12.36
   5.17   19.39    5.42   13.05
   5.44   22.84    5.53   13.74
   5.71   26.21    5.58   14.42
   5.98   30.09    5.82   15.11
   6.26   33.53    5.74   15.80
   6.53   35.76    5.70   16.49
   6.80   37.68    5.70   17.17
   7.07   38.60    5.24   17.86
   7.34   38.43    4.80   18.55
   7.62   38.29    4.33   19.23
   7.89   37.81    3.50   19.92
   8.16   36.52    2.95   20.61
   8.43   35.38    2.52   21.29
   8.70   33.97    1.95   21.98
   8.98   32.01    1.62   22.67
   9.25   30.00    1.47   23.35
   9.52   28.19    1.69   24.04
   9.79   26.91    2.40   24.73
  10.06   25.66    3.45   25.41
  10.34   24.54    4.77   26.10
  10.61   23.37    6.27   26.79
  10.88   21.85    7.72   27.48
  11.15   20.02    9.07   28.16
  11.42   17.54   10.14   28.85
  11.70   15.17   11.07   29.54
  11.97   13.15   11.82   30.22
  12.24   11.20   12.23   30.91
  12.51    8.81   12.55   31.60
  12.78    6.16   12.84   32.28
  13.06    3.30   13.10   32.97
  13.33   -0.05   13.34   33.66
