# Fit results:
# amplitude = 215.8962
# peak_pos[pc] = 9.5279
# width_left[pc] = 6.7407
# width_right[pc] = 2.4073
# chi_sq = 204.749
# ########################
# Dist[pc]    flux    flux_std    dist[pix]
   0.00   -8.32    2.09    0.00
   0.27   -0.50    2.53    0.68
   0.54    8.82    3.59    1.37
   0.81   20.03    4.32    2.05
   1.08   30.57    4.99    2.73
   1.35   40.21    4.96    3.41
   1.62   48.18    4.79    4.10
   1.89   55.74    4.45    4.78
   2.16   63.16    4.19    5.46
   2.43   71.06    3.97    6.14
   2.70   81.02    3.60    6.83
   2.97   92.82    3.53    7.51
   3.24  104.87    3.17    8.19
   3.51  116.31    3.00    8.87
   3.78  126.54    2.52    9.56
   4.06  136.05    2.41   10.24
   4.33  144.13    2.42   10.92
   4.60  151.22    2.56   11.61
   4.87  156.55    2.75   12.29
   5.14  160.69    2.98   12.97
   5.41  163.67    3.09   13.65
   5.68  165.59    3.44   14.34
   5.95  164.85    4.28   15.02
   6.22  164.04    5.37   15.70
   6.49  163.55    6.74   16.38
   6.76  164.64    7.60   17.07
   7.03  167.03    7.86   17.75
   7.30  170.47    6.75   18.43
   7.57  175.21    5.27   19.12
   7.84  181.60    3.31   19.80
   8.11  190.25    2.58   20.48
   8.38  198.00    4.36   21.16
   8.65  204.38    7.23   21.85
   8.92  210.83   10.08   22.53
   9.19  214.48   12.68   23.21
   9.46  215.52   14.17   23.89
   9.73  210.99   14.59   24.58
  10.00  202.87   13.90   25.26
  10.27  189.55   11.53   25.94
  10.54  172.60    8.55   26.62
  10.81  154.35    5.24   27.31
  11.08  132.86    2.95   27.99
  11.35  113.97    2.83   28.67
  11.62   96.81    3.61   29.36
  11.90   79.09    3.81   30.04
  12.17   61.07    3.68   30.72
  12.44   45.26    3.31   31.40
  12.71   34.19    2.80   32.09
  12.98   25.67    2.26   32.77
  13.25   19.09    1.93   33.45
  13.52   13.61    1.88   34.13
  13.79    8.73    1.92   34.82
  14.06    4.77    1.98   35.50
  14.33    2.00    2.02   36.18
  14.60   -0.12    2.30   36.86
