# Fit results:
# amplitude = 79.3229
# peak_pos[pc] = 6.4025
# width_left[pc] = 3.9109
# width_right[pc] = 3.3906
# chi_sq = 17.065
# ########################
# Dist[pc]    flux    flux_std    dist[pix]
   0.00   -4.13    3.99    0.00
   0.27    0.36    4.51    0.68
   0.54    3.77    5.25    1.37
   0.81    6.38    6.00    2.05
   1.08   10.24    6.31    2.73
   1.35   15.23    6.32    3.42
   1.62   20.70    6.18    4.10
   1.89   26.13    5.91    4.78
   2.17   30.58    5.46    5.47
   2.44   34.57    4.80    6.15
   2.71   38.41    3.93    6.83
   2.98   42.46    3.12    7.52
   3.25   47.14    2.64    8.20
   3.52   50.77    2.58    8.88
   3.79   54.66    2.88    9.57
   4.06   57.59    3.59   10.25
   4.33   59.39    4.69   10.93
   4.60   61.64    6.08   11.62
   4.87   63.34    7.65   12.30
   5.14   65.28    9.26   12.98
   5.41   67.38   10.76   13.67
   5.68   69.24   12.03   14.35
   5.95   71.33   13.16   15.03
   6.22   73.47   14.13   15.72
   6.50   75.40   14.78   16.40
   6.77   76.66   15.00   17.09
   7.04   75.47   14.79   17.77
   7.31   73.36   14.13   18.45
   7.58   70.25   13.17   19.14
   7.85   64.63   12.23   19.82
   8.12   58.92   11.50   20.50
   8.39   53.26   11.06   21.19
   8.66   48.36   10.94   21.87
   8.93   44.30   10.88   22.55
   9.20   40.66   10.73   23.24
   9.47   36.59   10.41   23.92
   9.74   31.52    9.91   24.60
  10.01   26.37    9.20   25.29
  10.28   20.94    8.33   25.97
  10.55   15.00    7.39   26.65
  10.83    9.49    6.46   27.34
  11.10    4.44    5.60   28.02
  11.37   -0.21    4.75   28.70
