# Fit results:
# amplitude = 20.7040
# peak_pos[pc] = 4.0298
# width_left[pc] = 0.6017
# width_right[pc] = 0.6020
# chi_sq = 4.390
# ########################
# Dist[pc]    flux    flux_std    dist[pix]
   1.91   -0.99    4.13    4.83
   2.18    0.10    3.29    5.51
   2.46    2.10    2.98    6.20
   2.73    4.75    3.42    6.89
   3.00    7.48    4.28    7.58
   3.28    9.93    5.35    8.27
   3.55   11.15    6.45    8.96
   3.82   11.66    7.32    9.65
   4.09    9.87    7.88   10.34
   4.37    7.94    8.10   11.03
   4.64    6.04    8.02   11.72
   4.91    3.93    7.74   12.41
   5.19    2.08    7.41   13.10
   5.46    0.63    7.08   13.79
   5.73   -0.84    6.76   14.48
   6.01   -2.52    6.42   15.17
   6.28   -4.42    5.99   15.86
   6.55   -3.61    5.39   16.54
   6.82   -4.07    4.89   17.23
   7.10   -3.58    4.87   17.92
   7.37   -2.99    5.56   18.61
   7.64   -2.46    6.74   19.30
   7.92   -1.39    8.12   19.99
