# Fit results:
# amplitude = 66.4015
# peak_pos[pc] = 7.4151
# width_left[pc] = 2.6488
# width_right[pc] = 2.4444
# chi_sq = 1.426
# ########################
# Dist[pc]    flux    flux_std    dist[pix]
   1.91   -0.76    6.24    4.83
   2.18    0.61    5.34    5.51
   2.46    2.16    4.64    6.20
   2.73    4.25    4.35    6.89
   3.00    6.91    4.47    7.58
   3.28    9.32    4.72    8.27
   3.55   12.70    5.05    8.96
   3.82   16.63    5.41    9.65
   4.09   20.12    5.81   10.34
   4.37   24.86    6.05   11.03
   4.64   29.11    6.07   11.72
   4.91   33.81    5.89   12.41
   5.19   39.52    5.55   13.10
   5.46   45.08    5.03   13.79
   5.73   50.16    4.08   14.48
   6.01   53.85    3.34   15.17
   6.28   55.90    3.05   15.86
   6.55   58.28    3.30   16.54
   6.82   60.22    4.84   17.23
   7.10   60.97    6.77   17.92
   7.37   61.16    8.92   18.61
   7.64   59.58   11.25   19.30
   7.92   57.44   13.44   19.99
   8.19   54.43   15.35   20.68
   8.46   49.82   16.80   21.37
   8.74   44.52   17.63   22.06
   9.01   38.43   17.99   22.75
   9.28   32.21   18.01   23.44
   9.55   26.21   17.58   24.13
   9.83   20.20   16.84   24.82
  10.10   14.44   15.85   25.51
  10.37   11.90   14.69   26.20
  10.65    9.80   13.44   26.89
  10.92    7.94   12.21   27.57
  11.19    5.81   11.11   28.26
  11.47    3.93   10.39   28.95
  11.74    2.31    9.98   29.64
  12.01    0.90    9.82   30.33
  12.28    0.79    9.87   31.02
  12.56    1.59    9.82   31.71
  12.83    0.29    9.66   32.40
  13.10    0.30    9.36   33.09
