# Fit results:
# amplitude = 44.0967
# peak_pos[pc] = 10.2902
# width_left[pc] = 6.5943
# width_right[pc] = 2.4810
# chi_sq = 3.387
# ########################
# Dist[pc]    flux    flux_std    dist[pix]
   0.00   -1.86   10.51    0.00
   0.27    0.04   11.08    0.69
   0.55    1.82   11.85    1.38
   0.82    3.44   12.62    2.07
   1.09    4.96   13.39    2.76
   1.37    6.48   14.13    3.45
   1.64    8.24   14.71    4.14
   1.91   10.20   15.14    4.83
   2.19   12.32   15.28    5.53
   2.46   14.29   15.07    6.22
   2.74   16.27   14.64    6.91
   3.01   18.34   13.97    7.60
   3.28   19.90   13.01    8.29
   3.56   21.43   11.94    8.98
   3.83   22.93   10.79    9.67
   4.10   23.79    9.55   10.36
   4.38   24.83    8.31   11.05
   4.65   25.82    7.12   11.74
   4.92   26.38    6.03   12.43
   5.20   26.84    5.02   13.12
   5.47   27.52    4.16   13.81
   5.74   28.51    3.33   14.50
   6.02   29.56    2.59   15.20
   6.29   30.72    1.94   15.89
   6.56   32.43    1.37   16.58
   6.84   33.45    1.29   17.27
   7.11   34.35    1.65   17.96
   7.38   36.21    2.17   18.65
   7.66   38.27    2.56   19.34
   7.93   39.55    2.76   20.03
   8.21   41.26    2.94   20.72
   8.48   42.70    3.18   21.41
   8.75   43.71    3.65   22.10
   9.03   44.71    4.50   22.79
   9.30   45.17    5.40   23.48
   9.57   45.41    6.26   24.17
   9.85   45.03    7.01   24.86
  10.12   44.03    7.53   25.56
  10.39   41.48    7.91   26.25
  10.67   38.55    8.13   26.94
  10.94   34.94    8.16   27.63
  11.21   31.23    8.09   28.32
  11.49   27.56    7.90   29.01
  11.76   24.11    7.30   29.70
  12.03   21.08    6.63   30.39
  12.31   18.37    5.82   31.08
  12.58   16.13    5.00   31.77
  12.86   13.94    4.28   32.46
  13.13   12.07    3.72   33.15
  13.40    9.32    3.65   33.84
  13.68    6.34    3.76   34.53
  13.95    3.31    4.10   35.23
  14.22   -0.01    4.57   35.92
