# Fit results:
# amplitude = 96.0101
# peak_pos[pc] = 4.7550
# width_left[pc] = 1.4046
# width_right[pc] = 2.4449
# chi_sq = 7.790
# ########################
# Dist[pc]    flux    flux_std    dist[pix]
   1.09   -1.65    0.41    2.76
   1.37   -1.77    1.35    3.45
   1.64    0.39    2.55    4.14
   1.91    4.76    3.43    4.84
   2.19   12.02    4.27    5.53
   2.46   21.05    4.58    6.22
   2.74   31.84    4.34    6.91
   3.01   42.95    3.50    7.60
   3.28   52.57    2.48    8.29
   3.56   61.61    1.55    8.98
   3.83   70.13    0.96    9.67
   4.10   77.14    0.46   10.36
   4.38   82.20    0.79   11.05
   4.65   85.04    0.99   11.74
   4.92   85.05    1.09   12.43
   5.20   82.43    1.23   13.12
   5.47   77.18    1.83   13.82
   5.74   70.79    2.83   14.51
   6.02   63.95    3.97   15.20
   6.29   56.67    4.87   15.89
   6.57   49.15    5.37   16.58
   6.84   41.09    5.65   17.27
   7.11   32.99    5.78   17.96
   7.39   24.90    5.57   18.65
   7.66   17.05    4.90   19.34
   7.93    8.97    3.70   20.03
   8.21    0.74    2.08   20.72
