# Fit results:
# amplitude = 47.7977
# peak_pos[pc] = 3.0142
# width_left[pc] = 1.2359
# width_right[pc] = 8.8480
# chi_sq = 16.515
# ########################
# Dist[pc]    flux    flux_std    dist[pix]
   0.00   -4.73    4.96    0.00
   0.27    0.33    5.41    0.68
   0.54    4.40    5.62    1.37
   0.81    8.35    5.61    2.05
   1.08   12.26    5.43    2.73
   1.35   16.96    5.13    3.42
   1.62   21.36    4.83    4.10
   1.89   25.42    4.75    4.78
   2.16   29.58    4.92    5.47
   2.43   34.44    5.38    6.15
   2.71   37.85    6.02    6.83
   2.98   42.06    6.64    7.51
   3.25   45.15    7.15    8.20
   3.52   48.85    7.55    8.88
   3.79   51.29    7.90    9.56
   4.06   51.77    8.29   10.25
   4.33   52.67    8.68   10.93
   4.60   52.38    9.01   11.61
   4.87   51.52    9.15   12.30
   5.14   50.24    9.09   12.98
   5.41   48.98    8.78   13.66
   5.68   46.64    8.31   14.35
   5.95   43.49    7.71   15.03
   6.22   41.72    6.92   15.71
   6.49   39.34    6.19   16.40
   6.76   36.44    5.76   17.08
   7.03   34.43    5.49   17.76
   7.30   33.09    5.46   18.45
   7.57   30.94    5.58   19.13
   7.85   29.57    5.55   19.81
   8.12   27.79    5.37   20.49
   8.39   26.74    5.07   21.18
   8.66   26.27    4.60   21.86
   8.93   25.77    4.07   22.54
   9.20   25.67    3.62   23.23
   9.47   24.85    3.33   23.91
   9.74   24.08    3.22   24.59
  10.01   23.98    3.39   25.28
  10.28   24.30    3.86   25.96
  10.55   25.27    4.61   26.64
  10.82   25.98    5.63   27.33
  11.09   27.23    6.90   28.01
  11.36   27.13    8.39   28.69
  11.63   26.38   10.10   29.38
  11.90   25.22   12.02   30.06
  12.17   23.83   14.03   30.74
  12.44   22.29   15.94   31.43
  12.71   20.05   17.63   32.11
  12.99   17.13   18.90   32.79
  13.26   13.92   19.57   33.47
  13.53   10.12   19.70   34.16
  13.80    5.19   19.38   34.84
  14.07    0.06   18.59   35.52
