# Fit results:
# amplitude = 99.8207
# peak_pos[pc] = 5.8625
# width_left[pc] = 2.6293
# width_right[pc] = 1.0787
# chi_sq = 12.296
# ########################
# Dist[pc]    flux    flux_std    dist[pix]
   0.00   -0.85    4.07    0.00
   0.28    0.86    2.60    0.70
   0.56   -0.01    1.35    1.41
   0.84   -0.37    1.81    2.11
   1.12    2.30    2.22    2.82
   1.40    8.00    2.85    3.52
   1.67   14.02    4.55    4.23
   1.95   20.66    6.66    4.93
   2.23   27.27    8.54    5.64
   2.51   32.94   10.17    6.34
   2.79   38.56   11.59    7.05
   3.07   44.61   12.69    7.75
   3.35   50.38   13.22    8.46
   3.63   55.15   13.30    9.16
   3.91   59.27   13.73    9.87
   4.19   63.90   14.59   10.57
   4.47   69.30   15.81   11.28
   4.75   76.29   16.52   11.98
   5.02   82.92   16.28   12.69
   5.30   88.25   14.76   13.39
   5.58   89.58   12.12   14.10
   5.86   83.49    9.08   14.80
   6.14   73.44    5.90   15.51
   6.42   59.45    3.06   16.21
   6.70   46.31    2.93   16.92
   6.98   35.06    4.70   17.62
   7.26   23.63    6.34   18.33
   7.54   14.21    7.05   19.03
   7.82    6.50    7.85   19.74
   8.09    0.49    8.75   20.44
