20.278 25.08  0.00
20.511 25.08  0.00
20.743 25.08  0.00
20.976 25.08  0.00
21.209 37.32  21.76
21.441 37.32  21.76
21.674 37.32  21.76
21.907 18.96  7.93
22.139 18.96  7.93
22.372 18.96  7.93
22.605 18.96  7.93
22.837 24.02  8.82
23.070 24.02  8.82
23.303 12.45  10.65
23.535 12.45  10.65
23.768 12.45  10.65
24.000 12.45  10.65
24.233 12.45  10.65
24.466 12.45  10.65
24.698 12.45  10.65
24.931 12.45  10.65
25.164 12.45  10.65
25.396 12.45  10.65
25.629 11.37  2.61
25.862 12.22  2.26
26.094 10.47  1.88
26.327 10.47  1.88
26.560 10.47  1.88
26.792 11.27  3.99
27.025 8.20  3.65
27.257 8.20  3.65
27.490 8.20  3.65
27.723 3.50  2.04
27.955 3.50  2.04
28.188 3.50  2.04
28.421 3.50  2.04
28.653 11.17  5.04
28.886 11.17  5.04
29.119 11.17  5.04
29.351 11.17  5.04
29.584 11.17  5.04
29.817 11.17  5.04
30.049 11.17  5.04
