# Fit results:
# amplitude = 57.4032
# peak_pos[pc] = 4.6430
# width_left[pc] = 2.6627
# width_right[pc] = 2.5066
# chi_sq = 2.247
# ########################
# Dist[pc]    flux    flux_std    dist[pix]
   0.00   -4.79    7.47    0.00
   0.27   -0.27    8.17    0.69
   0.55    5.05    8.79    1.39
   0.82   10.36    9.47    2.08
   1.10   15.54   10.16    2.77
   1.37   20.47   10.57    3.47
   1.65   25.40   10.68    4.16
   1.92   30.12   10.56    4.85
   2.20   33.73    9.98    5.54
   2.47   37.16    9.22    6.24
   2.74   40.49    8.44    6.93
   3.02   43.30    7.30    7.62
   3.29   46.05    6.21    8.32
   3.57   48.42    5.31    9.01
   3.84   50.84    4.17    9.70
   4.12   52.64    3.35   10.40
   4.39   53.02    2.65   11.09
   4.67   52.73    2.18   11.78
   4.94   51.30    2.11   12.48
   5.21   48.30    1.94   13.17
   5.49   44.64    2.07   13.86
   5.76   40.64    1.98   14.55
   6.04   36.42    1.68   15.25
   6.31   31.54    1.32   15.94
   6.59   26.69    0.79   16.63
   6.86   22.56    0.50   17.33
   7.14   17.98    1.02   18.02
   7.41   13.96    1.89   18.71
   7.68   10.76    2.62   19.41
   7.96    8.53    3.33   20.10
   8.23    6.49    4.00   20.79
   8.51    4.40    4.31   21.48
   8.78    2.76    4.34   22.18
   9.06    1.31    4.31   22.87
   9.33   -0.02    4.10   23.56
