# Fit results:
# amplitude = 96.0783
# peak_pos[pc] = 5.5088
# width_left[pc] = 1.6073
# width_right[pc] = 2.9159
# chi_sq = 17.253
# ########################
# Dist[pc]    flux    flux_std    dist[pix]
   1.67   -1.70    1.05    4.22
   1.95   -1.43    0.96    4.93
   2.23    0.68    1.10    5.63
   2.51    5.38    1.33    6.33
   2.79   11.33    1.53    7.04
   3.07   19.06    1.76    7.74
   3.34   28.20    2.17    8.44
   3.62   38.33    2.49    9.15
   3.90   49.27    2.40    9.85
   4.18   59.34    1.79   10.56
   4.46   67.42    1.12   11.26
   4.74   74.00    0.63   11.96
   5.02   79.51    0.71   12.67
   5.29   83.29    2.07   13.37
   5.57   86.05    4.11   14.07
   5.85   87.99    6.23   14.78
   6.13   88.31    8.44   15.48
   6.41   87.42   10.53   16.18
   6.69   85.32   12.19   16.89
   6.97   80.78   12.89   17.59
   7.25   74.25   12.71   18.30
   7.52   64.38   11.77   19.00
   7.80   52.77   10.68   19.70
   8.08   39.33    9.71   20.41
   8.36   26.04    8.70   21.11
   8.64   12.79    7.64   21.81
   8.92   -0.26    6.60   22.52
