# Fit results:
# amplitude = 68.9992
# peak_pos[pc] = 6.7878
# width_left[pc] = 3.7793
# width_right[pc] = 3.0335
# chi_sq = 4.452
# ########################
# Dist[pc]    flux    flux_std    dist[pix]
   0.00   -1.68    6.39    0.00
   0.28   -0.15    6.33    0.70
   0.55    1.83    6.28    1.39
   0.83    4.10    6.26    2.09
   1.10    6.71    6.26    2.79
   1.38   10.04    6.38    3.48
   1.66   13.58    6.58    4.18
   1.93   17.40    6.82    4.88
   2.21   21.30    7.18    5.58
   2.48   25.55    7.61    6.27
   2.76   29.94    8.10    6.97
   3.04   33.93    8.48    7.67
   3.31   37.94    8.76    8.36
   3.59   41.96    8.86    9.06
   3.86   45.54    8.65    9.76
   4.14   48.71    8.16   10.45
   4.42   51.79    7.46   11.15
   4.69   54.25    6.74   11.85
   4.97   57.12    5.90   12.54
   5.24   59.34    5.12   13.24
   5.52   61.89    4.73   13.94
   5.80   63.05    4.33   14.64
   6.07   64.22    4.18   15.33
   6.35   64.78    4.46   16.03
   6.62   64.07    4.47   16.73
   6.90   63.23    4.62   17.42
   7.18   61.59    4.83   18.12
   7.45   59.28    4.73   18.82
   7.73   56.60    4.57   19.51
   8.00   53.18    4.30   20.21
   8.28   49.40    3.90   20.91
   8.56   44.79    3.46   21.60
   8.83   39.76    2.99   22.30
   9.11   34.73    2.51   23.00
   9.38   29.31    2.12   23.70
   9.66   24.51    1.87   24.39
   9.94   20.02    1.77   25.09
  10.21   16.27    1.94   25.79
  10.49   11.98    2.37   26.48
  10.76    7.63    2.80   27.18
  11.04    3.77    3.29   27.88
  11.32    0.14    3.76   28.57
