# Fit results:
# amplitude = 90.4936
# peak_pos[pc] = 6.6697
# width_left[pc] = 3.0892
# width_right[pc] = 2.7064
# chi_sq = 3.358
# ########################
# Dist[pc]    flux    flux_std    dist[pix]
   0.00   -1.13    9.06    0.00
   0.27    0.02    8.98    0.69
   0.55    1.11    8.94    1.39
   0.82    3.44    9.26    2.08
   1.10    5.85    9.64    2.78
   1.37    8.23   10.26    3.47
   1.65   10.91   11.37    4.17
   1.92   13.73   12.54    4.86
   2.20   16.68   13.74    5.56
   2.47   20.13   14.85    6.25
   2.75   23.97   15.77    6.94
   3.02   28.34   16.48    7.64
   3.30   33.82   16.81    8.33
   3.57   39.94   16.88    9.03
   3.85   46.46   16.66    9.72
   4.12   53.50   16.20   10.42
   4.40   60.52   15.14   11.11
   4.67   67.11   13.84   11.81
   4.95   73.56   12.14   12.50
   5.22   79.17    9.87   13.19
   5.50   83.27    7.63   13.89
   5.77   82.55    5.56   14.58
   6.05   81.56    4.67   15.28
   6.32   81.76    5.78   15.97
   6.60   82.41    8.14   16.67
   6.87   83.32   10.77   17.36
   7.15   82.12   12.83   18.05
   7.42   77.74   14.89   18.75
   7.70   72.09   16.67   19.44
   7.97   64.55   17.41   20.14
   8.25   56.78   17.92   20.83
   8.52   49.15   18.04   21.53
   8.80   41.71   17.43   22.22
   9.07   34.95   16.46   22.92
   9.35   28.92   15.08   23.61
   9.62   23.66   13.31   24.30
   9.90   18.98   11.28   25.00
  10.17   14.84    9.08   25.69
  10.45   11.30    6.85   26.39
  10.72    8.63    4.96   27.08
  11.00    6.58    3.57   27.78
  11.27    3.82    3.13   28.47
  11.55    1.77    3.51   29.17
  11.82   -0.12    4.16   29.86
