# Fit results:
# amplitude = 30.5405
# peak_pos[pc] = 4.1743
# width_left[pc] = 1.9207
# width_right[pc] = 4.2480
# chi_sq = 18.192
# ########################
# Dist[pc]    flux    flux_std    dist[pix]
   0.00   -1.98   11.78    0.00
   0.27   -0.07   12.08    0.69
   0.55    2.04   12.29    1.38
   0.82    4.53   12.27    2.07
   1.09    7.23   11.99    2.76
   1.36   10.01   11.34    3.45
   1.64   11.66   10.52    4.14
   1.91   13.40    9.62    4.83
   2.18   15.43    8.71    5.51
   2.46   16.70    7.92    6.20
   2.73   18.55    7.28    6.89
   3.00   20.64    6.73    7.58
   3.28   22.86    6.05    8.27
   3.55   25.13    5.35    8.96
   3.82   27.07    4.57    9.65
   4.09   28.31    3.58   10.34
   4.37   29.49    2.53   11.03
   4.64   30.32    2.07   11.72
   4.91   31.45    3.04   12.41
   5.19   31.33    4.67   13.10
   5.46   29.85    6.37   13.79
   5.73   27.54    7.82   14.48
   6.01   24.47    8.85   15.17
   6.28   20.62    9.45   15.86
   6.55   16.46    9.69   16.54
   6.82   12.52    9.49   17.23
   7.10    9.24    8.73   17.92
   7.37    7.73    7.67   18.61
   7.64    6.78    6.26   19.30
   7.92    6.64    4.65   19.99
   8.19    7.17    3.41   20.68
   8.46    7.49    3.15   21.37
   8.74    8.09    4.12   22.06
   9.01    9.37    5.37   22.75
   9.28   10.54    6.54   23.44
   9.55   11.56    7.41   24.13
   9.83   12.29    8.09   24.82
  10.10   12.25    8.57   25.51
  10.37   11.88    8.75   26.20
  10.65   11.61    8.87   26.89
  10.92   11.35    8.98   27.57
  11.19   10.88    9.04   28.26
  11.47   10.09    9.13   28.95
  11.74    8.09    9.10   29.64
  12.01    6.14    8.84   30.33
  12.28    3.76    8.27   31.02
  12.56    0.48    7.31   31.71
  12.83   -0.37    6.13   32.40
  13.10    0.15    5.05   33.09
