# x_peak  y_peak  x_left  y_left  x_right  y_right
520.4507656095245  558.796542217917  519.4451783404331  549.006932502722  521.0726693345835  566.3310106639975
524.2463942160705  559.1470652334191  522.3400118949653  548.1915282748816  525.2369909421875  566.0871381125614
527.6758654282412  558.2949244698168  525.0699942235785  546.587490790443  529.4396374793091  564.3944119981995
531.2381939857657  555.6744754789289  527.9085807589934  543.7292150705441  533.2152680715494  561.5946903233602
534.4204202300757  551.6919715572423  529.9843001891695  541.0380635578849  536.7781117793593  557.458428307972
537.1493174017542  546.4843157949529  531.9285649172139  537.635662558398  540.0013330937784  551.9967226212016
538.7728011899605  542.3370382162688  533.3659154203731  534.7694825273651  542.2534482078827  547.12188763681
540.3299516125703  536.579414116643  534.8882826114834  530.4403257354879  544.2873806880664  541.0314427592864
541.4674863606779  530.2863243241744  536.1433112073744  525.6728009147454  545.8744573402621  534.3376480049145
542.2663652739295  523.5309913576962  537.1847208942079  520.4722463999659  547.0104867822572  526.8099915094875
542.6866153090614  518.5955834365643  537.9518749947106  514.6933942373727  547.6478974244653  522.2872270272156
542.9711401942495  510.8914689774127  538.3878289990455  508.9635947253039  548.0028679918626  514.5970257662273
543.2025077381438  505.4405616191045  538.3429205002119  503.21563604072446  548.1025353630994  506.7886258634088
543.533953916781  500.3422736563109  538.7591136870399  499.81642739926997  548.3104263247603  501.0085118935152
543.3662508217815  494.0429189978139  538.7618794406835  493.9438393775515  547.9288983829776  493.5433570767908
542.9225490255965  487.14534279754173  538.4794317040905  487.91551673215565  547.1424603063424  485.83255775210057
543.3306922578518  482.92370616906885  538.5807389153476  483.10839467617996  547.7209455151151  483.1318624832011
542.7744881497049  475.77497948795224  537.8175555477117  475.9677381354784  546.931726361272  475.5718794468704
542.2671862586051  470.0373603881592  537.7964405054536  471.1612884404732  546.3979449374967  469.8968061962544
541.3755747365699  463.6808811299535  537.1449828934603  465.11505898402675  544.8901576377998  462.21900215589903
539.4339890347878  456.5228630540571  535.7992657424743  458.37670448862934  542.7977765655555  454.3112738888971
537.0022865079861  448.87570013025515  534.1698008745639  451.8037094790203  540.2956283565447  446.65019776693214
535.4561028749538  443.68069033251953  532.6249325454271  446.1367892834595  538.2235385756576  440.6178373381743
533.7652643062513  438.71917656603785  531.5282194126655  441.575015203515  535.8903615709603  435.0098470167087
531.1941597856348  433.2524605854612  530.0334021995459  437.0279943207544  532.5439267350871  428.89825156454924
528.3752078075463  428.1788417875882  527.400290229453  431.9481548273276  529.6605745084737  423.9406872404802
525.4791545621715  423.6239165936934  524.5860683811527  427.4764140992471  526.6095185749157  419.37924662786656
524.4055137979749  420.78669406363315  522.4744888362684  424.15782213853146  525.9222078980522  416.87963793467685
520.7287185523439  416.6815264821658  519.0858940958078  420.7903433565722  522.2200265504075  412.6060419769645
516.8831261691073  413.203456837576  515.280060544384  418.1319275317091  518.4424870503312  408.8710635171918
513.148720793937  410.4484480716556  511.58252198720106  416.46785696007674  514.3474704996929  405.5854650320414
