# x_peak  y_peak  x_left  y_left  x_right  y_right
492.31179799526603  488.5517120542231  492.6462618359651  495.4789217339779  492.0914049027317  485.91087138184946
486.67626967873923  493.03995984832113  488.2451533376858  499.4074528610531  484.78517883944255  486.5199687404187
482.2286198914437  497.7756186806056  484.968149207015  502.0631683894168  478.28523900962216  490.5016272367759
478.7732232177382  504.78344323232966  482.57195743761645  508.45633820414025  473.24000881574864  499.545763691365
476.3504173817564  509.47244775234583  481.09099719206574  512.7718341593142  470.23461372810834  504.6973042997861
474.61329831812714  512.6860764821154  480.6342603433793  520.0292580877256  468.6421017936227  510.59855690808206
475.10942748192406  528.6435590150795  480.76946206931063  528.1483701535185  468.19721800356103  519.3305589894243
474.4405693685095  533.8416340857325  480.15002132322854  533.2417397809944  468.5366733800821  527.5321831600613
475.09201104499414  540.8615701787724  479.9851299525651  538.2351123008556  468.48770680905534  536.7113804950641
476.8194945584504  547.1549583119452  480.7234423684728  543.6915274408116  469.26275917082467  544.3529085521031
479.48470368394305  551.810385336375  482.4871194184325  548.9377764188025  471.37292013697845  551.1247648635252
483.45516658805184  555.4983705902395  485.3683007192318  553.3835825571226  475.05824861644965  556.4839606806975
