# x_peak  y_peak  x_left  y_left  x_right  y_right
186.71050555291242  304.3880440071789  183.23821770212288  298.1770390849654  190.91808754560316  310.7254447967522
188.43615983607668  299.2781988227729  184.71509750207883  293.51056317938287  192.84940578436095  306.07943986975664
190.09948979542196  293.942927747528  186.0881905643477  288.69255626276544  195.00036476856957  300.1092530786795
191.70409259727523  288.3016104831664  187.39732712455975  283.5087314751456  196.92042416458753  294.2998021612379
193.18632861392183  282.6007315366744  188.57532585698192  278.2259595786871  198.70765808626913  288.3112461978949
194.5479409602168  276.86021480201396  189.6169019487407  272.84470293460515  200.37361865340563  282.0321543269994
195.7817353035062  271.24130087574076  190.57180557701975  266.8988518411178  201.84457989180356  276.14153602665465
196.86928206568723  266.6289635940505  191.29894710145805  262.48869530438776  202.91715143457407  274.4014336422707
197.9292718000401  261.33643975036625  191.97455580105827  257.6112519819852  204.27996814814765  268.30947459598644
198.92693721057395  255.81849001584305  192.5558698935655  251.8386205149459  205.53486221013083  261.77523863135946
199.86569312318147  251.14890285809884  192.99651449488903  245.7972264791769  206.64619476710538  255.24352447256405
200.69496560977808  244.8627061221544  193.20922292566428  238.61134326278824  207.6048779021457  248.06264431490308
201.61512553935722  241.25879492990822  193.5774804539809  234.6642275373834  208.63427578721075  244.42909964317425
202.23802891785823  234.31809386027004  193.7855773533671  229.61688403168  209.38080578650556  237.13628390094192
201.91760560905158  221.70803551264936  192.8045919681881  217.97809342946158  209.03317419523069  222.51092809612902
201.6575492977571  212.40530120098828  192.42124950773302  211.5269553984694  209.1313757931553  214.38143408384485
201.97173073277037  206.92707216927397  192.26638196540267  206.59167275368276  209.08846415342833  206.46504984763726
201.58024331663455  198.80026760087145  191.63035098107002  200.05222192180332  208.91326578694128  198.7409267711139
201.80211872993482  194.0930173761651  191.26653919116148  195.34602169587282  209.1582454398241  193.81081482310515
201.68960109440872  188.12009516196207  190.82460410712235  190.35554861964846  208.85424657628698  186.31880069418972
201.33093958346564  181.64672143093176  190.06025590500747  184.47980698406332  208.33781723546178  179.01602119620685
200.67938697036396  174.74725342409351  188.9426572650042  177.73153290338996  207.6566316698259  171.77784699201732
199.86150142252222  167.7117646877844  187.61203393182785  170.8613612911642  206.86958344179692  164.72962214143567
199.45717017999038  162.05548060894455  187.56872574021452  167.20120785993498  206.34125323582066  158.8733844003021
198.23982571509515  154.59318287415203  186.6332430697541  161.6215081047808  205.33665612255572  151.83415441256588
196.7199316125218  147.62915012645567  185.23695965246566  155.27906732108357  203.9291138625274  144.32826763842252
195.20521138620478  140.7851231037456  184.08442731154594  149.16625604086778  201.96918592196874  136.04757608243415
193.64363299652928  134.13592140825614  182.60304814070707  142.4598468310294  199.77225749122704  127.85788677121491
191.74182206206893  126.82385051549318  180.86206345487938  135.52519520135547  197.81672687060546  120.54047754362375
189.1632382054741  118.95865948029683  179.41881093761543  129.49804783108067  198.20430913174334  117.60552915909011
189.42747118736082  116.07465555285356  178.76644989717693  125.38926970084003  195.79280289519016  110.98049552314035
187.77816643634372  110.00530622687367  177.22725465907325  119.30024884235849  193.44656846458957  104.24936936036764
185.89998255353345  103.81544645298726  175.46980538323174  113.02955877043908  189.52467557962132  95.63841757647867
181.09118406708274  94.25819262055143  172.8297528247366  105.92261042797813  190.019197998305  93.25625224950844
178.6476361434382  87.99733741049803  169.23822801130837  98.16611664007661  182.34891528652696  80.81742795451177
176.1554869415803  81.9113836337036  167.93351359221344  92.80944624627503  179.87490238572053  75.12137719361897
173.24693095338716  75.63098216749373  165.87368108361943  86.85631903214926  177.02327497185587  69.1873320656648
170.70775718324523  69.92055584722235  164.08919759201729  81.25051524041481  173.81424527069078  63.063715221908154
167.75479129905045  64.04556767847836  160.82683648285052  74.69992176012457  170.5513849467473  57.05522812952498
163.8105783926011  57.675086881160325  158.6635895792203  69.14733186985185  167.02172477516115  50.97973921386205
160.29823843294736  51.91930499131729  157.17711559772448  64.14786212201244  163.2719010460566  44.88335932010176
158.5066001414911  47.38821438963126  155.58843158847117  59.19748738640223  161.27013007525233  39.95908681230219
155.77650748820537  42.41724159031921  152.66417163107462  53.71147751112929  157.45421845107631  33.89860345528328
151.33137032224647  36.77318347652286  148.53176545038087  47.989867989511794  154.07138414097466  28.10137669411563
147.68973065076608  31.79161692219472  144.20435994094862  42.656732038445085  150.75022447049844  22.27867770440278
144.09456086448444  27.03686334235141  140.27978864166272  37.91072095998706  147.45995758814365  16.38300855731663
141.71341633025838  22.828379210122165  136.39972223948666  33.61253513445499  144.2508169503614  10.379859799761476
131.4748248866917  17.18927274950059  129.51363527471233  29.406692658093817  135.80881641321787  2.9373074682630147
