23,598233349907858  846,0076724483293
33,63654976746908  567,7928824435597
43,64561701131943  433,3826375784002
53,65760917254089  326,56262656603906
63,64912691216473  269,2573689496928
73,65234432127293  210,87366509536247
83,64971189563896  169,4533969415193
94,14139050571823  154,8617398091692
104,11828365848665  136,16898877360853
114,09517681125509  119,73256613593385
124,2105263157895  96,21443268927803
134,21052631578948  75,35203264966117
145,26315789473688  60,55122100314917
154,73684210526318  52,56181956608316
165,26315789473688  43,899351080815435
175,26315789473688  37,13918782987277
184,73684210526318  31,42003785257203
194,73684210526318  26,24184786693744
205,26315789473688  21,63692455358421
215,26315789473688  18,782051055441148
225,26315789473688  15,486173980916927
234,73684210526318  13,793192726625698
245,26315789473688  11,372761243504481
255,56437389770724  9,623506263980897
266,17577895355674  8,4679401098553
275,7289829512052  7,451131400254735
285,81422692533806  6,473082037010402
295,896531452087  5,695810810737687
306,51381540270427  4,885273571519392
316,59318048206933  4,354004653656649
326,1552028218695  3,6869450645195774
336,23750734861846  3,24422607917163
346,305114638448  3,043219887107722
356,91358024691357  2,7122725793320295
366,4609053497942  2,448436746822227
376,54320987654324  2,1544346900318843
386,6166960611405  1,969901198590982

