# Fit results:
# amplitude = 141.8973
# peak_pos[pc] = 7.0506
# width_left[pc] = 2.7084
# width_right[pc] = 4.3889
# chi_sq = 76.343
# ########################
# Dist[pc]    flux    flux_std    dist[pix]
   0.00   -2.28    1.67    0.00
   0.27   -0.02    2.50    0.69
   0.54    2.30    3.16    1.38
   0.82    6.53    3.51    2.06
   1.09   11.07    3.61    2.75
   1.36   14.97    3.66    3.44
   1.63   18.19    3.79    4.13
   1.91   20.10    3.98    4.81
   2.18   20.91    4.24    5.50
   2.45   21.64    4.52    6.19
   2.72   24.03    4.92    6.88
   3.00   25.82    5.07    7.56
   3.27   27.50    4.32    8.25
   3.54   30.02    2.77    8.94
   3.81   34.50    1.75    9.63
   4.08   42.03    2.87   10.31
   4.36   51.60    5.33   11.00
   4.63   65.98    8.86   11.69
   4.90   83.98   12.65   12.38
   5.17  107.22   16.73   13.07
   5.45  129.16   22.39   13.75
   5.72  145.77   29.82   14.44
   5.99  151.57   33.99   15.13
   6.26  153.27   31.71   15.82
   6.54  145.57   25.83   16.50
   6.81  136.32   19.41   17.19
   7.08  134.36   12.14   17.88
   7.35  126.79    6.10   18.57
   7.62  121.12    8.98   19.25
   7.90  123.62   13.67   19.94
   8.17  134.04   16.61   20.63
   8.44  141.71   18.54   21.32
   8.71  136.43   18.89   22.00
   8.99  126.83   17.01   22.69
   9.26  113.06   14.52   23.38
   9.53  102.61   12.60   24.07
   9.80   94.19   10.56   24.76
  10.08   83.27    7.63   25.44
  10.35   73.08    4.30   26.13
  10.62   63.10    3.65   26.82
  10.89   55.57    5.56   27.51
  11.16   49.18    8.00   28.19
  11.44   43.86   10.65   28.88
  11.71   40.20   12.39   29.57
  11.98   37.44   13.19   30.26
  12.25   34.78   13.90   30.94
  12.53   32.92   15.14   31.63
  12.80   32.50   16.67   32.32
  13.07   33.14   17.74   33.01
  13.34   33.00   17.77   33.70
  13.62   30.41   15.72   34.38
  13.89   27.77   12.70   35.07
  14.16   24.99   10.35   35.76
  14.43   20.32    8.46   36.45
  14.70   12.15    6.37   37.13
  14.98    4.33    4.96   37.82
  15.25    0.12    4.55   38.51
