# Fit results:
# amplitude = 134.6205
# peak_pos[pc] = 8.9005
# width_left[pc] = 4.2321
# width_right[pc] = 4.6812
# chi_sq = 74.534
# ########################
# Dist[pc]    flux    flux_std    dist[pix]
   0.00   -3.28    3.05    0.00
   0.27   -0.45    2.81    0.68
   0.54    3.73    2.08    1.37
   0.81    7.98    2.13    2.05
   1.08    9.99    4.07    2.74
   1.35    7.18    5.60    3.42
   1.62    2.17    5.25    4.10
   1.90    4.07    4.42    4.79
   2.17    6.70    4.58    5.47
   2.44   11.39    5.26    6.15
   2.71   15.29    5.76    6.84
   2.98   21.24    6.25    7.52
   3.25   25.98    6.76    8.21
   3.52   31.02    6.84    8.89
   3.79   34.46    5.50    9.57
   4.06   39.77    3.58   10.26
   4.33   47.40    2.69   10.94
   4.60   53.89    3.02   11.63
   4.87   60.64    3.20   12.31
   5.15   69.75    3.65   12.99
   5.42   76.94    4.44   13.68
   5.69   83.84    5.26   14.36
   5.96   88.14    5.41   15.04
   6.23   94.57    5.32   15.73
   6.50  102.75    5.07   16.41
   6.77  108.63    5.17   17.10
   7.04  114.51    5.99   17.78
   7.31  122.22    7.96   18.46
   7.58  129.18   10.09   19.15
   7.85  129.53   11.03   19.83
   8.12  126.72   10.92   20.51
   8.39  124.45   10.32   21.20
   8.67  122.24    8.91   21.88
   8.94  121.24    6.33   22.57
   9.21  119.92    4.42   23.25
   9.48  120.73    5.63   23.93
   9.75  122.29    6.39   24.62
  10.02  123.51    7.72   25.30
  10.29  122.21   10.50   25.99
  10.56  123.09   15.52   26.67
  10.83  123.52   23.48   27.35
  11.10  127.81   30.71   28.04
  11.37  132.71   35.16   28.72
  11.64  137.11   38.46   29.40
  11.92  141.46   42.61   30.09
  12.19  136.93   45.51   30.77
  12.46  118.74   43.25   31.46
  12.73   95.57   33.35   32.14
  13.00   67.44   24.99   32.82
  13.27   50.30   21.22   33.51
  13.54   36.67   17.31   34.19
  13.81   24.67   11.97   34.88
  14.08   13.23    8.66   35.56
  14.35    6.11    7.89   36.24
  14.62    0.35    7.48   36.93
