# Fit results:
# amplitude = 74.5343
# peak_pos[pc] = 15.8210
# width_left[pc] = 9.3281
# width_right[pc] = 4.3460
# chi_sq = 16.858
# ########################
# Dist[pc]    flux    flux_std    dist[pix]
   0.00   -0.96    3.49    0.00
   0.27    0.17    3.39    0.68
   0.54    0.79    3.48    1.35
   0.80    1.83    3.92    2.03
   1.07    3.18    4.44    2.70
   1.34    4.25    5.01    3.38
   1.61    5.40    5.43    4.05
   1.87    6.39    5.78    4.73
   2.14    7.71    6.08    5.40
   2.41    8.41    6.36    6.08
   2.68   10.14    6.76    6.76
   2.94   11.88    7.08    7.43
   3.21   14.84    7.42    8.11
   3.48   18.43    7.65    8.78
   3.75   20.93    7.99    9.46
   4.01   22.56    8.11   10.13
   4.28   23.60    8.07   10.81
   4.55   24.12    7.97   11.48
   4.82   25.01    7.88   12.16
   5.08   26.47    7.81   12.83
   5.35   28.29    7.61   13.51
   5.62   29.91    7.52   14.19
   5.89   31.22    7.55   14.86
   6.15   32.45    7.90   15.54
   6.42   33.44    8.23   16.21
   6.69   34.24    8.54   16.89
   6.96   35.10    8.68   17.56
   7.22   36.19    8.70   18.24
   7.49   37.39    8.51   18.91
   7.76   38.60    7.96   19.59
   8.03   39.78    7.57   20.27
   8.29   40.92    7.15   20.94
   8.56   42.27    7.01   21.62
   8.83   43.97    7.15   22.29
   9.10   45.96    7.36   22.97
   9.36   47.67    7.60   23.64
   9.63   47.08    7.75   24.32
   9.90   47.23    7.82   24.99
  10.17   47.22    7.75   25.67
  10.43   47.36    7.41   26.35
  10.70   48.20    7.22   27.02
  10.97   49.34    7.08   27.70
  11.24   51.42    6.99   28.37
  11.50   53.65    6.94   29.05
  11.77   56.45    7.12   29.72
  12.04   58.87    7.83   30.40
  12.31   61.60    8.16   31.07
  12.57   65.48    8.54   31.75
  12.84   69.05    8.65   32.42
  13.11   71.48    8.84   33.10
  13.38   73.62    9.03   33.78
  13.64   75.60    9.18   34.45
  13.91   77.24    9.22   35.13
  14.18   78.91    9.70   35.80
  14.45   78.81   10.63   36.48
  14.71   80.12   11.87   37.15
  14.98   81.13   13.30   37.83
  15.25   80.95   14.50   38.50
  15.52   80.97   15.22   39.18
  15.78   81.45   15.27   39.86
  16.05   79.99   14.03   40.53
  16.32   79.41   12.34   41.21
  16.59   77.29   10.53   41.88
  16.85   74.30    8.67   42.56
  17.12   68.23    7.47   43.23
  17.39   62.01    6.58   43.91
  17.66   56.56    5.87   44.58
  17.92   50.98    5.46   45.26
  18.19   46.28    5.13   45.94
  18.46   43.06    5.04   46.61
  18.73   39.74    5.05   47.29
  18.99   35.95    5.16   47.96
  19.26   32.11    5.39   48.64
  19.53   28.27    5.83   49.31
  19.80   25.83    6.18   49.99
  20.06   23.09    6.53   50.66
  20.33   20.29    6.88   51.34
  20.60   18.24    6.73   52.01
  20.87   16.69    6.37   52.69
  21.13   16.53    5.98   53.37
  21.40   16.13    5.43   54.04
  21.67   14.27    4.85   54.72
  21.94   12.72    4.30   55.39
  22.20   11.36    3.98   56.07
  22.47   10.31    3.77   56.74
  22.74    9.31    3.56   57.42
  23.01    7.58    3.21   58.09
  23.27    6.23    2.85   58.77
  23.54    5.36    2.58   59.45
  23.81    4.19    2.43   60.12
  24.08    3.60    2.46   60.80
  24.34    2.93    2.63   61.47
  24.61    2.11    2.70   62.15
  24.88    1.33    2.77   62.82
  25.15    0.70    2.92   63.50
