# Fit results:
# amplitude = 83.7694
# peak_pos[pc] = 16.3583
# width_left[pc] = 10.4818
# width_right[pc] = 5.8477
# chi_sq = 9.065
# ########################
# Dist[pc]    flux    flux_std    dist[pix]
   0.00   -1.07    7.38    0.00
   0.27    0.22    7.79    0.68
   0.54    0.85    7.84    1.36
   0.80    2.22    7.50    2.03
   1.07    3.23    7.13    2.71
   1.34    4.32    6.69    3.39
   1.61    7.84    6.01    4.07
   1.88   11.20    5.54    4.74
   2.15   14.17    5.39    5.42
   2.41   14.73    5.37    6.10
   2.68   15.40    5.73    6.78
   2.95   16.22    6.26    7.45
   3.22   18.10    6.96    8.13
   3.49   20.18    7.47    8.81
   3.76   21.56    7.74    9.49
   4.02   25.05    7.75   10.16
   4.29   28.49    7.28   10.84
   4.56   30.83    6.72   11.52
   4.83   32.22    6.15   12.20
   5.10   32.72    5.70   12.87
   5.37   32.91    5.32   13.55
   5.63   32.71    5.05   14.23
   5.90   33.01    4.90   14.91
   6.17   34.00    4.89   15.58
   6.44   35.51    4.95   16.26
   6.71   36.79    5.20   16.94
   6.98   38.13    5.53   17.62
   7.24   39.86    6.02   18.29
   7.51   41.44    6.84   18.97
   7.78   43.53    7.54   19.65
   8.05   45.42    8.13   20.33
   8.32   47.23    9.39   21.00
   8.59   48.45   10.94   21.68
   8.85   49.40   12.53   22.36
   9.12   50.91   13.51   23.04
   9.39   53.63   14.35   23.71
   9.66   56.31   15.17   24.39
   9.93   59.80   15.71   25.07
  10.20   63.57   15.94   25.75
  10.46   66.40   15.85   26.42
  10.73   68.45   15.52   27.10
  11.00   69.63   15.20   27.78
  11.27   70.13   15.09   28.46
  11.54   70.68   15.13   29.13
  11.81   70.77   15.06   29.81
  12.07   70.87   14.27   30.49
  12.34   70.79   13.26   31.17
  12.61   70.64   12.18   31.85
  12.88   71.32   11.60   32.52
  13.15   73.04   11.17   33.20
  13.42   72.56   11.25   33.88
  13.68   73.58   11.67   34.56
  13.95   75.60   11.44   35.23
  14.22   76.45   11.45   35.91
  14.49   78.63   10.97   36.59
  14.76   80.75   10.50   37.27
  15.03   81.65   10.30   37.94
  15.29   83.30    9.81   38.62
  15.56   84.65    9.71   39.30
  15.83   85.80    9.91   39.98
  16.10   85.68   10.58   40.65
  16.37   86.14   11.81   41.33
  16.64   85.90   13.15   42.01
  16.90   83.21   14.60   42.69
  17.17   80.75   16.26   43.36
  17.44   80.62   17.62   44.04
  17.71   80.34   18.91   44.72
  17.98   78.59   19.87   45.40
  18.25   77.54   19.15   46.07
  18.51   76.16   17.55   46.75
  18.78   73.04   15.42   47.43
  19.05   65.70   13.24   48.11
  19.32   62.23   11.12   48.78
  19.59   59.46    9.35   49.46
  19.86   54.53    7.87   50.14
  20.12   50.48    6.41   50.82
  20.39   46.26    5.33   51.49
  20.66   44.28    4.89   52.17
  20.93   42.11    4.49   52.85
  21.20   40.02    4.42   53.53
  21.46   37.39    4.52   54.20
  21.73   34.71    4.87   54.88
  22.00   33.99    5.33   55.56
  22.27   31.21    5.45   56.24
  22.54   28.45    5.73   56.91
  22.81   26.01    6.06   57.59
  23.07   24.30    6.32   58.27
  23.34   22.52    6.69   58.95
  23.61   20.36    7.20   59.62
  23.88   17.68    7.92   60.30
  24.15   14.51    8.31   60.98
  24.42   11.47    8.32   61.66
  24.68   10.52    7.64   62.33
  24.95    8.61    6.95   63.01
  25.22    6.39    6.02   63.69
  25.49    5.29    5.07   64.37
  25.76    4.52    4.52   65.05
  26.03    3.57    4.24   65.72
  26.29    2.75    4.18   66.40
  26.56    1.61    4.11   67.08
  26.83    0.20    3.87   67.76
