# Fit results:
# amplitude = 46.5085
# peak_pos[pc] = 16.4544
# width_left[pc] = 9.1433
# width_right[pc] = 3.0843
# chi_sq = 4.198
# ########################
# Dist[pc]    flux    flux_std    dist[pix]
   0.00   -0.21    4.65    0.00
   0.27    0.18    4.20    0.68
   0.54    0.03    3.78    1.36
   0.81   -0.05    3.32    2.04
   1.08    0.12    2.99    2.73
   1.35    0.55    2.86    3.41
   1.62    1.30    3.03    4.09
   1.89    2.26    3.11    4.77
   2.16    3.37    3.11    5.45
   2.43    4.18    2.97    6.13
   2.70    5.03    2.79    6.81
   2.97    5.61    2.71    7.49
   3.24    5.63    2.62    8.18
   3.51    4.81    2.70    8.86
   3.78    4.49    2.85    9.54
   4.05    4.68    3.07   10.22
   4.32    6.03    3.51   10.90
   4.59    7.51    4.04   11.58
   4.86    8.68    4.23   12.26
   5.13   10.04    4.31   12.94
   5.40   11.05    4.23   13.63
   5.67   13.10    3.97   14.31
   5.94   15.57    3.54   14.99
   6.20   17.86    3.26   15.67
   6.47   19.19    2.91   16.35
   6.74   19.82    2.33   17.03
   7.01   19.84    1.84   17.71
   7.28   20.46    1.58   18.39
   7.55   20.90    1.73   19.08
   7.82   21.45    2.06   19.76
   8.09   22.29    2.15   20.44
   8.36   22.69    2.13   21.12
   8.63   22.16    2.42   21.80
   8.90   22.31    3.05   22.48
   9.17   22.56    3.68   23.16
   9.44   23.88    4.05   23.84
   9.71   25.76    4.16   24.53
   9.98   28.09    4.02   25.21
  10.25   29.95    3.49   25.89
  10.52   30.75    2.75   26.57
  10.79   31.81    2.10   27.25
  11.06   32.74    1.88   27.93
  11.33   33.63    2.06   28.61
  11.60   34.08    2.08   29.29
  11.87   34.65    2.13   29.98
  12.14   35.65    2.07   30.66
  12.41   36.16    2.51   31.34
  12.68   37.11    3.37   32.02
  12.95   38.16    4.60   32.70
  13.22   39.60    6.00   33.38
  13.49   41.38    7.81   34.06
  13.76   43.94    9.50   34.74
  14.03   46.54   10.53   35.43
  14.30   49.16   10.81   36.11
  14.57   51.56   10.83   36.79
  14.84   52.74   10.53   37.47
  15.11   53.09    9.57   38.15
  15.38   51.72    8.35   38.83
  15.65   49.63    7.03   39.51
  15.92   46.44    5.88   40.19
  16.19   45.33    5.25   40.88
  16.46   45.03    5.14   41.56
  16.73   43.64    5.36   42.24
  17.00   42.05    5.81   42.92
  17.27   40.89    6.33   43.60
  17.54   37.33    6.78   44.28
  17.81   35.44    6.82   44.96
  18.08   30.90    6.63   45.64
  18.34   27.78    6.47   46.33
  18.61   25.18    6.10   47.01
  18.88   23.52    5.46   47.69
  19.15   20.94    5.07   48.37
  19.42   18.69    4.83   49.05
  19.69   15.68    4.87   49.73
  19.96   12.91    4.67   50.41
  20.23   10.42    4.41   51.09
  20.50    8.60    4.02   51.78
  20.77    7.14    3.67   52.46
  21.04    5.43    3.16   53.14
  21.31    4.22    2.82   53.82
  21.58    3.28    2.37   54.50
  21.85    2.64    1.91   55.18
  22.12    1.85    1.58   55.86
  22.39    0.97    1.56   56.54
  22.66   -0.19    1.58   57.23
