# Fit results:
# amplitude = 49.3261
# peak_pos[pc] = 12.5545
# width_left[pc] = 3.8225
# width_right[pc] = 3.7783
# chi_sq = 1.761
# ########################
# Dist[pc]    flux    flux_std    dist[pix]
   4.55   -0.95    2.58   11.49
   4.82    0.19    2.73   12.16
   5.08    0.76    2.69   12.84
   5.35    0.82    2.38   13.51
   5.62    1.61    2.14   14.19
   5.89    1.79    2.38   14.86
   6.15    2.22    2.95   15.54
   6.42    3.03    3.66   16.21
   6.69    5.18    4.35   16.89
   6.96    8.02    4.92   17.57
   7.22   10.59    5.57   18.24
   7.49   13.26    5.98   18.92
   7.76   14.42    5.81   19.59
   8.03   17.46    5.20   20.27
   8.29   19.36    4.74   20.94
   8.56   21.38    4.19   21.62
   8.83   22.51    3.38   22.30
   9.10   24.98    2.81   22.97
   9.36   27.63    2.62   23.65
   9.63   30.59    2.61   24.32
   9.90   33.85    2.90   25.00
  10.17   36.64    3.11   25.67
  10.43   39.25    3.14   26.35
  10.70   40.73    3.54   27.02
  10.97   41.85    5.15   27.70
  11.24   43.38    7.38   28.38
  11.50   41.71    9.61   29.05
  11.77   42.99   11.46   29.73
  12.04   44.17   13.66   30.40
  12.31   44.35   17.38   31.08
  12.57   42.41   21.71   31.75
  12.84   44.96   24.91   32.43
  13.11   46.40   28.10   33.11
  13.38   47.00   35.17   33.78
  13.64   46.30   41.95   34.46
  13.91   45.97   44.20   35.13
  14.18   44.08   42.38   35.81
  14.45   40.38   38.94   36.48
  14.71   36.78   34.48   37.16
  14.98   33.88   29.04   37.83
  15.25   30.47   24.00   38.51
  15.52   26.16   19.92   39.19
  15.79   21.99   17.18   39.86
  16.05   17.81   14.83   40.54
  16.32   14.56   12.96   41.21
  16.59   12.81   11.07   41.89
  16.86   11.97    9.31   42.56
  17.12   11.47    7.94   43.24
  17.39    9.46    7.09   43.91
  17.66    6.96    6.33   44.59
  17.93    6.16    5.50   45.27
  18.19    5.10    4.64   45.94
  18.46    3.78    3.81   46.62
  18.73    2.84    3.10   47.29
  19.00    1.66    2.73   47.97
  19.26    1.25    2.56   48.64
  19.53    0.79    2.34   49.32
  19.80    0.21    1.85   50.00
  20.07    0.01    1.42   50.67
  20.33   -0.11    1.04   51.35
  20.60    0.09    0.68   52.02
  20.87   -0.06    0.84   52.70
