# Fit results:
# amplitude = 63.3772
# peak_pos[pc] = 10.5733
# width_left[pc] = 3.1579
# width_right[pc] = 7.5908
# chi_sq = 155.063
# ########################
# Dist[pc]    flux    flux_std    dist[pix]
   0.27   -1.74    5.99    0.68
   0.54    0.30    4.38    1.36
   0.81    2.83    4.42    2.04
   1.08    6.78    5.10    2.72
   1.35    9.59    6.31    3.40
   1.62   12.19    7.76    4.08
   1.89   17.07    9.23    4.77
   2.16   21.18   11.50    5.45
   2.43   25.16   14.64    6.13
   2.70   28.43   17.52    6.81
   2.97   31.69   18.73    7.49
   3.24   35.00   17.59    8.17
   3.50   35.86   15.20    8.85
   3.77   34.60   12.05    9.53
   4.04   31.50    8.46   10.21
   4.31   26.18    6.11   10.89
   4.58   20.47    4.76   11.57
   4.85   14.51    3.33   12.25
   5.12    9.47    1.78   12.93
   5.39    7.17    0.62   13.62
   5.66    6.10    1.15   14.30
   5.93    6.14    2.24   14.98
   6.20    7.22    3.23   15.66
   6.47    8.95    3.94   16.34
   6.74   10.96    4.64   17.02
   7.01   13.08    5.53   17.70
   7.28   17.30    6.84   18.38
   7.55   23.81    8.81   19.06
   7.82   30.51   11.76   19.74
   8.09   36.65   15.74   20.42
   8.36   43.83   21.33   21.10
   8.63   52.24   29.58   21.78
   8.90   60.49   40.08   22.47
   9.17   68.22   50.92   23.15
   9.44   77.24   60.80   23.83
   9.71   92.37   69.50   24.51
   9.97  116.20   75.91   25.19
  10.24  126.66   77.47   25.87
  10.51  117.97   72.41   26.55
  10.78  113.29   59.98   27.23
  11.05   98.86   44.88   27.91
  11.32   84.90   32.20   28.59
  11.59   72.78   23.41   29.27
  11.86   59.60   17.57   29.95
  12.13   49.67   14.43   30.63
  12.40   43.00   13.36   31.32
  12.67   39.11   12.89   32.00
  12.94   37.53   12.69   32.68
  13.21   35.30   13.11   33.36
  13.48   34.66   14.05   34.04
  13.75   35.40   14.81   34.72
  14.02   34.70   15.26   35.40
  14.29   34.03   15.17   36.08
  14.56   32.98   14.52   36.76
  14.83   36.63   13.65   37.44
  15.10   43.32   12.84   38.12
  15.37   52.46   12.50   38.80
  15.64   59.62   12.97   39.48
  15.91   62.86   14.03   40.17
  16.18   62.49   15.26   40.85
  16.44   59.86   15.61   41.53
  16.71   54.17   14.04   42.21
  16.98   46.07   10.01   42.89
  17.25   36.40    5.68   43.57
  17.52   25.71    2.54   44.25
  17.79   17.89    2.19   44.93
  18.06   10.33    3.54   45.61
  18.33    4.88    4.63   46.29
  18.60    0.21    4.88   46.97
