# Fit results:
# amplitude = 13.1108
# peak_pos[pc] = 11.5920
# width_left[pc] = 5.5025
# width_right[pc] = 4.6033
# chi_sq = 2.084
# ########################
# Dist[pc]    flux    flux_std    dist[pix]
   0.00   -0.91    2.35    0.00
   0.27   -0.17    1.89    0.68
   0.54    1.07    1.39    1.37
   0.81    0.96    1.21    2.05
   1.08    1.02    1.45    2.74
   1.36    0.59    2.03    3.42
   1.63    0.65    2.63    4.11
   1.90    2.46    2.62    4.79
   2.17    3.39    2.65    5.48
   2.44    4.18    2.56    6.16
   2.71    3.47    2.39    6.84
   2.98    2.20    2.57    7.53
   3.25    1.83    2.90    8.21
   3.52    1.52    3.18    8.90
   3.79    0.37    3.13    9.58
   4.07   -0.33    2.82   10.27
   4.34   -0.39    2.33   10.95
   4.61    0.14    2.30   11.63
   4.88    0.24    2.48   12.32
   5.15    1.24    2.55   13.00
   5.42    2.47    2.50   13.69
   5.69    3.35    2.30   14.37
   5.96    4.86    2.11   15.06
   6.23    6.00    1.91   15.74
   6.50    6.56    2.48   16.43
   6.78    6.94    3.08   17.11
   7.05    7.83    3.40   17.79
   7.32    9.89    3.67   18.48
   7.59   11.01    3.43   19.16
   7.86   11.44    3.13   19.85
   8.13   11.59    2.95   20.53
   8.40   11.99    2.97   21.22
   8.67   11.98    3.01   21.90
   8.94   12.05    2.96   22.59
   9.21   11.71    2.71   23.27
   9.49   11.26    2.39   23.95
   9.76   11.23    2.15   24.64
  10.03   11.60    2.11   25.32
  10.30   11.80    2.37   26.01
  10.57   11.85    2.43   26.69
  10.84   11.86    2.33   27.38
  11.11   11.61    2.12   28.06
  11.38   11.08    2.12   28.75
  11.65   10.82    2.12   29.43
  11.93   11.11    2.12   30.11
  12.20   11.38    1.95   30.80
  12.47   11.94    1.84   31.48
  12.74   11.99    1.65   32.17
  13.01   11.93    1.50   32.85
  13.28   11.77    1.60   33.54
  13.55   11.69    1.65   34.22
  13.82   11.58    1.38   34.90
  14.09   10.41    1.35   35.59
  14.36    9.67    1.30   36.27
  14.64    8.94    1.27   36.96
  14.91    7.76    1.40   37.64
  15.18    6.57    1.58   38.33
  15.45    5.64    1.74   39.01
  15.72    4.83    1.91   39.70
  15.99    3.90    2.10   40.38
  16.26    2.34    2.32   41.06
  16.53    0.88    2.47   41.75
  16.80   -0.15    2.43   42.43
