# Fit results:
# amplitude = 151.0682
# peak_pos[pc] = 7.4089
# width_left[pc] = 2.8714
# width_right[pc] = 4.1195
# chi_sq = 108.326
# ########################
# Dist[pc]    flux    flux_std    dist[pix]
   0.00   -4.89    3.15    0.00
   0.27   -0.50    3.14    0.68
   0.54    5.39    3.99    1.36
   0.81   13.19    5.74    2.04
   1.07   23.28    8.14    2.71
   1.34   35.25   10.80    3.39
   1.61   41.29   12.97    4.07
   1.88   43.98   13.88    4.75
   2.15   44.66   12.97    5.43
   2.42   39.76   10.48    6.11
   2.69   33.91    7.25    6.78
   2.96   28.96    4.11    7.46
   3.22   27.33    2.04    8.14
   3.49   29.26    1.13    8.82
   3.76   32.50    1.56    9.50
   4.03   37.18    2.62   10.18
   4.30   46.35    3.63   10.85
   4.57   58.76    5.30   11.53
   4.84   73.83    7.74   12.21
   5.10   86.55   10.67   12.89
   5.37   97.79   14.36   13.57
   5.64  110.50   16.88   14.25
   5.91  120.63   16.78   14.92
   6.18  128.48   15.57   15.60
   6.45  134.78   14.54   16.28
   6.72  143.86   14.06   16.96
   6.98  153.03   13.04   17.64
   7.25  158.72   12.51   18.32
   7.52  163.16   14.27   18.99
   7.79  164.47   15.55   19.67
   8.06  159.06   13.86   20.35
   8.33  148.05   11.67   21.03
   8.60  135.29   12.26   21.71
   8.87  120.46   14.53   22.39
   9.13  108.45   13.70   23.06
   9.40   98.90   11.41   23.74
   9.67   91.92    9.79   24.42
   9.94   85.66    7.92   25.10
  10.21   76.67    5.74   25.78
  10.48   69.83    4.97   26.46
  10.75   67.95    5.45   27.14
  11.01   64.88    5.67   27.81
  11.28   61.39    5.52   28.49
  11.55   60.17    5.75   29.17
  11.82   57.47    5.91   29.85
  12.09   52.92    7.36   30.53
  12.36   47.78   10.52   31.21
  12.63   42.68   13.34   31.88
  12.89   34.70   14.63   32.56
  13.16   26.40   13.96   33.24
  13.43   19.84   11.93   33.92
  13.70   16.30    9.50   34.60
  13.97   13.60    6.92   35.28
  14.24   10.03    4.22   35.95
  14.51    6.90    2.66   36.63
  14.78    3.62    2.36   37.31
  15.04   -0.11    2.22   37.99
