# Fit results:
# amplitude = 66.2873
# peak_pos[pc] = 16.7570
# width_left[pc] = 9.4540
# width_right[pc] = 4.5288
# chi_sq = 15.049
# ########################
# Dist[pc]    flux    flux_std    dist[pix]
   0.00   -0.24    2.16    0.00
   0.27   -0.06    1.70    0.68
   0.53    0.30    1.60    1.35
   0.80    0.53    1.56    2.03
   1.07    1.31    1.74    2.70
   1.34    1.91    1.74    3.38
   1.60    2.73    1.75    4.05
   1.87    3.59    1.89    4.73
   2.14    5.03    2.11    5.40
   2.41    6.68    2.18    6.08
   2.67    8.11    2.50    6.75
   2.94    9.45    2.93    7.43
   3.21   11.67    3.21    8.10
   3.48   13.72    3.59    8.78
   3.74   14.88    3.83    9.45
   4.01   15.82    4.09   10.13
   4.28   17.04    4.36   10.80
   4.55   18.00    4.17   11.48
   4.81   19.81    3.95   12.15
   5.08   21.25    3.79   12.83
   5.35   22.16    3.56   13.50
   5.61   22.89    3.33   14.18
   5.88   24.06    3.29   14.85
   6.15   25.72    3.28   15.53
   6.42   27.83    3.16   16.20
   6.68   30.06    3.07   16.88
   6.95   32.12    2.95   17.55
   7.22   35.00    3.24   18.23
  14.71   68.10   11.87   37.13
  14.97   69.16   10.62   37.81
  15.24   68.29    9.77   38.48
  15.51   66.94    9.23   39.16
  15.77   66.39    8.96   39.83
  16.04   66.34    8.78   40.51
  16.31   65.28    8.31   41.19
  16.58   61.67    8.72   41.86
  16.84   61.56   10.57   42.54
  17.11   62.04   12.62   43.21
  17.38   62.03   14.29   43.89
  17.65   61.30   15.32   44.56
  17.91   59.84   15.67   45.24
  18.18   57.42   15.55   45.91
  18.45   54.48   14.49   46.59
  18.72   52.96   13.31   47.26
  18.98   49.14   11.73   47.94
  19.25   44.53   10.47   48.61
  19.52   40.32    9.45   49.29
  19.79   37.51    8.93   49.96
  20.05   35.40    8.88   50.64
  20.32   33.20    9.16   51.31
  20.59   30.65    9.45   51.99
  20.85   28.08    9.69   52.66
  21.12   25.64    9.83   53.34
  21.39   23.30    9.53   54.01
  21.66   20.39    9.09   54.69
  21.92   17.60    8.58   55.36
  22.19   15.11    7.97   56.04
  22.46   11.79    7.66   56.71
  22.73    7.83    7.36   57.39
  22.99    4.33    7.06   58.06
  23.26    2.70    6.77   58.74
  23.53    0.77    6.54   59.41
  23.80    0.01    6.51   60.09
