# Fit results:
# amplitude = 76.1881
# peak_pos[pc] = 15.9397
# width_left[pc] = 9.8247
# width_right[pc] = 7.7117
# chi_sq = 8.995
# ########################
# Dist[pc]    flux    flux_std    dist[pix]
   0.00   -2.13    4.27    0.00
   0.27    0.08    3.70    0.68
   0.53    2.05    3.35    1.35
   0.80    4.13    3.56    2.03
   1.07    5.81    3.93    2.70
   1.34    7.84    4.24    3.38
   1.60    7.99    4.16    4.05
   1.87    9.09    4.06    4.73
   2.14   10.76    3.97    5.40
   2.41   12.65    4.04    6.08
   2.67   13.17    4.43    6.75
   2.94   14.02    5.04    7.43
   3.21   15.93    5.52    8.10
   3.48   16.44    5.98    8.78
   3.74   16.57    6.43    9.45
   4.01   16.90    6.90   10.13
   4.28   18.01    7.28   10.80
   4.55   19.62    7.54   11.48
   4.81   22.52    7.51   12.15
   5.08   25.45    7.35   12.83
   5.35   28.08    7.02   13.50
   5.62   28.87    6.34   14.18
   5.88   29.08    5.77   14.86
   6.15   30.40    5.58   15.53
   6.42   31.70    5.46   16.21
   6.68   33.64    5.46   16.88
   6.95   35.54    5.92   17.56
   7.22   37.94    6.52   18.23
   7.49   40.16    7.31   18.91
   7.75   41.66    8.34   19.58
   8.02   43.17    9.50   20.26
   8.29   46.13   10.79   20.93
   8.56   48.53   12.17   21.61
   8.82   50.32   13.44   22.28
   9.09   53.91   14.82   22.96
   9.36   56.17   14.78   23.63
   9.63   57.11   13.91   24.31
   9.89   59.58   12.86   24.98
  10.16   62.97   10.97   25.66
  10.43   66.18    8.70   26.33
  10.70   67.55    6.87   27.01
  10.96   67.39    5.68   27.68
  11.23   66.58    5.32   28.36
  11.50   65.44    5.42   29.04
  11.77   64.20    5.75   29.71
  12.03   64.96    5.92   30.39
  12.30   64.51    5.77   31.06
  12.57   65.96    5.55   31.74
  12.83   67.04    5.18   32.41
  13.10   66.98    5.36   33.09
  13.37   67.73    5.76   33.76
  13.64   68.63    6.49   34.44
  13.90   69.35    6.91   35.11
  14.17   71.03    7.29   35.79
  14.44   72.72    7.88   36.46
  14.71   72.98    8.39   37.14
  14.97   73.49    8.71   37.81
  15.24   74.70    8.97   38.49
  15.51   75.08    9.04   39.16
  15.78   75.43    8.77   39.84
  16.04   74.96    8.94   40.51
  16.31   74.85    8.56   41.19
  16.58   73.02    6.84   41.86
  16.85   71.91    5.61   42.54
  17.11   72.76    4.85   43.21
  17.38   73.60    4.21   43.89
  17.65   72.10    4.07   44.57
  17.92   69.13    4.31   45.24
  18.18   66.23    4.49   45.92
  18.45   63.51    4.41   46.59
  18.72   61.27    4.18   47.27
  18.98   60.40    3.67   47.94
  19.25   59.02    3.09   48.62
  19.52   57.20    2.63   49.29
  19.79   55.65    2.64   49.97
  20.05   53.54    3.19   50.64
  20.32   52.41    3.59   51.32
  20.59   51.86    3.64   51.99
  20.86   51.19    3.51   52.67
  21.12   48.92    3.24   53.34
  21.39   46.31    3.02   54.02
  21.66   44.78    2.97   54.69
  21.93   42.44    2.98   55.37
  22.19   40.85    2.98   56.04
  22.46   38.77    2.92   56.72
  22.73   36.81    2.77   57.39
  23.00   34.63    2.52   58.07
  23.26   31.76    2.44   58.75
  23.53   28.74    2.34   59.42
  23.80   26.06    2.31   60.10
  24.07   23.45    2.27   60.77
  24.33   21.27    2.14   61.45
  24.60   18.31    2.21   62.12
  24.87   15.81    2.47   62.80
  25.13   13.98    2.55   63.47
  25.40   12.23    2.86   64.15
  25.67   10.48    3.30   64.82
  25.94    8.83    3.68   65.50
  26.20    7.57    3.88   66.17
  26.47    5.64    4.05   66.85
  26.74    5.55    4.12   67.52
  27.01    4.36    4.16   68.20
  27.27    3.10    4.14   68.87
  27.54    1.46    3.98   69.55
  27.81    0.10    3.74   70.22
