# Fit results:
# amplitude = 89.1582
# peak_pos[pc] = 6.4181
# width_left[pc] = 2.3150
# width_right[pc] = 7.3403
# chi_sq = 58.403
# ########################
# Dist[pc]    flux    flux_std    dist[pix]
   0.00   -0.35    4.98    0.00
   0.27   -0.46    4.02    0.69
   0.54    0.80    3.53    1.37
   0.82    3.31    4.04    2.06
   1.09    5.42    5.09    2.75
   1.36    7.85    6.27    3.43
   1.63   10.47    6.64    4.12
   1.90   13.23    6.02    4.81
   2.18   15.45    4.63    5.50
   2.45   17.72    3.78    6.18
   2.72   20.59    3.62    6.87
   2.99   22.02    3.76    7.56
   3.26   22.20    4.36    8.24
   3.54   23.26    4.87    8.93
   3.81   25.92    4.73    9.62
   4.08   30.60    4.01   10.30
   4.35   37.35    3.18   10.99
   4.62   46.16    3.38   11.68
   4.90   58.69    5.97   12.36
   5.17   69.39    9.50   13.05
   5.44   81.07   12.24   13.74
   5.71   93.13   13.53   14.42
   5.98  101.30   13.56   15.11
   6.26  105.64   12.71   15.80
   6.53  106.72   11.34   16.49
   6.80  104.79    9.61   17.17
   7.07  100.00    7.34   17.86
   7.34   94.14    5.25   18.55
   7.62   90.79    4.67   19.23
   7.89   87.41    4.32   19.92
   8.16   83.40    4.25   20.61
   8.43   78.30    4.10   21.29
   8.70   73.53    3.51   21.98
   8.98   69.46    2.92   22.67
   9.25   66.32    2.71   23.35
   9.52   63.56    2.75   24.04
   9.79   62.35    3.06   24.73
  10.06   62.53    3.05   25.41
  10.34   61.91    3.22   26.10
  10.61   60.55    5.11   26.79
  10.88   59.12    8.23   27.48
  11.15   59.23   11.61   28.16
  11.42   59.81   14.75   28.85
  11.70   64.27   17.84   29.54
  11.97   62.58   21.15   30.22
  12.24   64.58   23.81   30.91
  12.51   58.27   25.17   31.60
  12.78   52.23   25.50   32.28
  13.06   52.03   24.27   32.97
  13.33   50.90   21.60   33.66
  13.60   46.55   18.74   34.34
  13.87   43.06   16.57   35.03
  14.14   39.28   15.21   35.72
  14.42   36.31   14.07   36.40
  14.69   32.75   13.34   37.09
  14.96   28.27   12.87   37.78
  15.23   25.56   11.75   38.47
  15.50   21.81   10.20   39.15
  15.78   17.58    8.67   39.84
  16.05   11.13    6.83   40.53
  16.32    5.74    4.73   41.21
  16.59    3.24    3.28   41.90
  16.86    0.29    2.71   42.59
