# Fit results:
# amplitude = 70.5754
# peak_pos[pc] = 7.8513
# width_left[pc] = 3.6749
# width_right[pc] = 6.5300
# chi_sq = 6.345
# ########################
# Dist[pc]    flux    flux_std    dist[pix]
   0.00   -0.35    4.09    0.00
   0.27   -0.21    3.08    0.69
   0.54    0.57    2.50    1.37
   0.82    1.62    2.64    2.06
   1.09    2.29    2.73    2.74
   1.36    3.14    2.66    3.43
   1.63    5.21    3.06    4.12
   1.90    6.54    3.46    4.80
   2.17    7.97    3.44    5.49
   2.45    9.63    3.61    6.18
   2.72   12.53    3.77    6.86
   2.99   15.28    3.76    7.55
   3.26   17.63    3.76    8.23
   3.53   19.76    4.18    8.92
   3.80   23.43    4.94    9.61
   4.08   28.56    5.93   10.29
   4.35   32.88    7.00   10.98
   4.62   37.45    7.94   11.66
   4.89   41.06    8.55   12.35
   5.16   45.52    9.02   13.04
   5.43   50.17    9.54   13.72
   5.71   53.55    9.90   14.41
   5.98   56.95    9.95   15.10
   6.25   59.47   10.39   15.78
   6.52   59.88   12.18   16.47
   6.79   59.69   15.39   17.15
   7.06   58.31   19.15   17.84
   7.34   58.36   22.74   18.53
   7.61   59.49   25.11   19.21
   7.88   61.84   26.13   19.90
   8.15   65.03   26.03   20.58
   8.42   68.32   25.44   21.27
   8.69   70.81   25.01   21.96
   8.97   72.29   24.97   22.64
   9.24   73.30   24.37   23.33
   9.51   73.16   22.57   24.01
   9.78   69.91   19.82   24.70
  10.05   65.32   17.02   25.39
  10.33   61.77   14.93   26.07
  10.60   59.86   13.77   26.76
  10.87   57.28   13.51   27.45
  11.14   52.96   13.61   28.13
  11.41   49.04   13.60   28.82
  11.68   45.27   13.27   29.50
  11.96   41.97   13.76   30.19
  12.23   38.65   15.58   30.88
  12.50   36.85   18.38   31.56
  12.77   35.35   21.75   32.25
  13.04   34.52   25.08   32.93
  13.31   33.92   27.88   33.62
  13.59   33.12   29.97   34.31
  13.86   32.93   31.47   34.99
  14.13   32.58   31.71   35.68
  14.40   31.80   30.52   36.37
  14.67   29.07   28.63   37.05
  14.94   25.82   26.48   37.74
  15.22   22.48   24.42   38.42
  15.49   19.80   22.97   39.11
  15.76   16.46   22.04   39.80
  16.03   13.23   21.05   40.48
  16.30   10.81   20.29   41.17
  16.57    8.80   19.67   41.85
  16.85    6.62   18.61   42.54
  17.12    4.27   16.77   43.23
  17.39    2.20   14.61   43.91
  17.66    0.10   12.53   44.60
