# Fit results:
# amplitude = 22.9258
# peak_pos[pc] = 11.9967
# width_left[pc] = 5.7979
# width_right[pc] = 4.9824
# chi_sq = 2.605
# ########################
# Dist[pc]    flux    flux_std    dist[pix]
   0.00   -0.19    2.38    0.00
   0.27    0.18    2.15    0.68
   0.54    0.01    2.13    1.37
   0.81   -0.19    2.41    2.05
   1.08    0.37    3.05    2.74
   1.36    0.94    3.69    3.42
   1.63    1.76    4.05    4.11
   1.90    2.86    4.10    4.79
   2.17    3.92    4.14    5.48
   2.44    4.99    4.38    6.16
   2.71    4.20    5.08    6.85
   2.98    3.40    6.06    7.53
   3.25    3.86    6.97    8.22
   3.53    4.09    7.26    8.90
   3.80    4.48    7.02    9.59
   4.07    4.83    6.21   10.27
   4.34    5.02    5.63   10.96
   4.61    5.32    4.98   11.64
   4.88    5.99    4.20   12.33
   5.15    6.17    3.64   13.01
   5.42    5.87    3.23   13.70
   5.70    6.16    2.77   14.38
   5.97    7.08    2.51   15.07
   6.24    8.17    2.06   15.75
   6.51    8.97    1.56   16.44
   6.78    9.16    1.39   17.12
   7.05   10.57    1.70   17.81
   7.32   11.29    1.95   18.49
   7.59   12.94    1.96   19.18
   7.87   14.45    1.81   19.86
   8.14   16.34    1.56   20.55
   8.41   17.96    1.44   21.23
   8.68   18.94    1.87   21.92
   8.95   21.03    2.86   22.60
   9.22   20.91    4.04   23.29
   9.49   21.13    5.21   23.97
   9.76   20.61    6.57   24.66
  10.04   20.42    7.56   25.34
  10.31   20.03    7.78   26.03
  10.58   19.70    8.06   26.71
  10.85   19.96    7.05   27.40
  11.12   20.50    6.23   28.08
  11.39   19.96    5.80   28.77
  11.66   19.92    6.71   29.45
  11.93   20.33    7.73   30.14
  12.21   19.04    8.61   30.82
  12.48   17.79    9.25   31.51
  12.75   18.20    9.82   32.19
  13.02   18.71   10.48   32.88
  13.29   19.23   10.87   33.56
  13.56   19.91   11.10   34.25
  13.83   20.97   11.05   34.93
  14.10   21.75   10.82   35.62
  14.38   21.82   10.56   36.30
  14.65   21.05   10.33   36.99
  14.92   19.89   10.17   37.67
  15.19   18.13    9.78   38.36
  15.46   16.55    9.10   39.04
  15.73   14.98    8.19   39.73
  16.00   13.31    7.22   40.41
  16.27   11.03    6.26   41.10
  16.55    9.42    5.23   41.78
  16.82    8.16    4.28   42.47
  17.09    7.38    3.59   43.15
  17.36    6.82    3.26   43.84
  17.63    5.04    3.37   44.52
  17.90    3.58    3.52   45.21
  18.17    2.85    3.88   45.89
  18.44    2.32    4.34   46.58
  18.72    1.47    4.68   47.26
  18.99    0.61    4.82   47.95
