50.324 17.69  1.20
51.034 18.27  1.17
51.744 19.09  1.50
52.454 20.89  1.38
53.165 20.82  1.26
53.875 20.01  1.17
54.585 20.01  1.17
55.296 20.15  1.08
56.006 20.16  0.99
56.716 20.40  1.11
57.426 20.40  1.11
58.137 21.38  1.26
58.847 20.71  1.34
59.557 19.59  1.08
60.267 20.34  1.24
60.978 20.76  1.43
61.688 19.36  1.66
62.398 20.54  1.75
63.109 19.44  1.84
63.819 19.44  1.84
64.529 19.44  1.84
65.239 18.95  2.09
65.950 18.95  2.09
66.660 19.18  2.50
67.370 22.58  2.74
68.080 25.31  2.87
68.791 25.31  2.87
69.501 26.32  3.21
70.211 29.84  3.41
70.922 29.84  3.41
71.632 30.40  2.95
72.342 29.48  2.55
73.052 30.72  3.07
73.763 30.94  3.28
74.473 29.23  2.89
75.183 28.42  2.85
75.893 27.23  2.59
76.604 22.16  1.37
77.314 20.30  1.42
78.024 20.30  1.42
78.735 20.83  1.28
79.445 19.03  1.42
80.155 19.03  1.42
80.865 19.03  1.42
81.576 19.03  1.42
82.286 19.03  1.42
82.996 19.03  1.42
83.707 23.28  2.42
84.417 23.28  2.42
85.127 25.93  2.57
