# Fit results:
# amplitude = 23.0873
# peak_pos[pc] = 15.7992
# width_left[pc] = 8.0157
# width_right[pc] = 0.9205
# chi_sq = 4.214
# ########################
# Dist[pc]    flux    flux_std    dist[pix]
   0.00   -0.39    2.27    0.00
   0.27   -0.02    2.65    0.68
   0.54    0.41    2.79    1.36
   0.81    1.01    2.76    2.05
   1.08    1.71    2.70    2.73
   1.35    2.74    2.70    3.41
   1.62    3.36    2.48    4.09
   1.89    4.07    2.17    4.78
   2.16    3.66    2.09    5.46
   2.43    4.44    2.03    6.14
   2.70    3.43    2.01    6.82
   2.97    2.18    1.83    7.51
   3.24    1.75    2.39    8.19
   3.51    2.22    2.92    8.87
   3.78    2.45    3.00    9.55
   4.05    2.56    2.51   10.24
   4.32    3.63    2.03   10.92
   4.59    4.53    1.79   11.60
   4.86    4.96    1.65   12.28
   5.13    4.80    1.53   12.97
   5.40    4.71    1.32   13.65
   5.67    5.02    1.09   14.33
   5.95    5.26    0.91   15.01
   6.22    5.78    1.07   15.70
   6.49    5.95    1.63   16.38
   6.76    7.32    2.23   17.06
   7.03    7.76    2.65   17.74
   7.30    8.22    3.03   18.42
   7.57    8.86    3.36   19.11
   7.84    9.62    3.78   19.79
   8.11   10.18    4.10   20.47
   8.38   10.34    4.45   21.15
   8.65    9.93    4.71   21.84
   8.92    9.76    4.92   22.52
   9.19    9.58    4.81   23.20
   9.46    9.46    4.97   23.88
   9.73    9.17    5.67   24.57
  10.00    9.07    6.93   25.25
  10.27    8.62    7.63   25.93
  10.54    8.85    7.75   26.61
  10.81    8.55    7.57   27.30
  11.08    8.38    8.06   27.98
  11.35   10.11    8.66   28.66
  11.62   13.65    9.29   29.34
  11.89   18.04    9.66   30.03
  12.16   23.64   10.10   30.71
  12.43   25.06   11.19   31.39
  12.70   25.73   11.98   32.07
  12.97   27.27   12.22   32.75
  13.24   28.28   11.32   33.44
  13.51   28.87   10.39   34.12
  13.78   28.72    9.52   34.80
  14.05   27.68    8.69   35.48
  14.32   25.61    7.66   36.17
  14.59   23.52    6.41   36.85
  14.86   21.88    5.44   37.53
  15.13   20.75    4.86   38.21
  15.40   19.91    4.41   38.90
  15.67   18.95    4.20   39.58
  15.94   16.46    3.96   40.26
  16.21   13.37    3.72   40.94
  16.48   10.29    3.32   41.63
  16.75    7.88    2.91   42.31
  17.02    5.92    2.64   42.99
  17.29    3.77    2.48   43.67
  17.56    2.48    2.39   44.36
  17.84    2.16    2.52   45.04
  18.11    1.92    2.77   45.72
  18.38    0.93    2.97   46.40
  18.65    0.14    2.96   47.09
