# Fit results:
# amplitude = 74.0510
# peak_pos[pc] = 13.9140
# width_left[pc] = 7.2324
# width_right[pc] = 4.1371
# chi_sq = 25.447
# ########################
# Dist[pc]    flux    flux_std    dist[pix]
   0.00   -0.60    5.89    0.00
   0.27    0.04    6.07    0.68
   0.54    0.56    6.35    1.35
   0.80    1.02    6.55    2.03
   1.07    1.83    6.45    2.70
   1.34    3.67    6.28    3.38
   1.61    5.26    6.04    4.05
   1.87    7.55    5.78    4.73
   2.14    9.30    5.71    5.40
   2.41   10.21    5.81    6.08
   2.68   11.13    5.98    6.76
   2.94   12.15    6.21    7.43
   3.21   12.86    6.29    8.11
   3.48   14.21    6.16    8.78
   3.75   15.43    5.75    9.46
   4.01   16.60    5.45   10.13
   4.28   18.01    5.36   10.81
   4.55   19.86    5.39   11.48
   4.82   21.90    5.51   12.16
   5.08   24.00    5.68   12.83
   5.35   25.43    5.90   13.51
   5.62   26.91    5.81   14.19
   5.89   28.55    5.68   14.86
   6.15   29.55    5.55   15.54
   6.42   29.81    5.33   16.21
   6.69   30.24    4.97   16.89
   6.96   31.06    4.41   17.56
   7.22   32.34    3.86   18.24
   7.49   33.74    3.64   18.91
   7.76   35.26    3.72   19.59
   8.03   37.04    4.03   20.27
   8.29   39.38    4.35   20.94
   8.56   41.76    4.69   21.62
   8.83   43.58    4.83   22.29
   9.10   45.23    4.90   22.97
   9.36   46.09    4.73   23.64
   9.63   48.50    4.31   24.32
   9.90   52.22    3.67   24.99
  10.17   53.72    3.06   25.67
  10.43   55.10    2.49   26.35
  10.70   58.21    2.76   27.02
  10.97   61.54    3.78   27.70
  11.24   66.99    4.57   28.37
  11.50   74.74    5.53   29.05
  11.77   80.27    6.70   29.72
  12.04   86.35   11.14   30.40
  12.31   89.91   17.27   31.07
  12.57   96.59   23.92   31.75
  12.84  101.67   31.76   32.42
  13.11  106.78   40.13   33.10
  13.38  107.65   48.30   33.78
  13.64  107.17   54.21   34.45
  13.91  104.85   56.97   35.13
  14.18   96.01   56.42   35.80
  14.45   87.58   51.23   36.48
  14.71   79.61   44.59   37.15
  14.98   72.84   37.20   37.83
  15.25   65.63   29.08   38.50
  15.52   61.40   22.28   39.18
  15.78   55.59   16.44   39.86
  16.05   50.85   11.34   40.53
  16.32   45.84    8.17   41.21
  16.59   40.22    6.63   41.88
  16.85   35.00    5.57   42.56
  17.12   31.79    4.55   43.23
  17.39   28.94    3.80   43.91
  17.66   25.59    3.18   44.58
  17.92   22.70    2.97   45.26
  18.19   19.78    3.15   45.94
  18.46   18.12    3.56   46.61
  18.73   16.23    3.73   47.29
  18.99   14.29    3.70   47.96
  19.26   12.40    3.46   48.64
  19.53   11.70    3.16   49.31
  19.80   10.93    2.80   49.99
  20.06   10.39    2.59   50.66
  20.33    9.36    2.42   51.34
  20.60    8.78    2.17   52.01
  20.87    8.39    2.08   52.69
  21.13    7.85    2.23   53.37
  21.40    7.64    2.64   54.04
  21.67    7.67    3.00   54.72
  21.94    7.42    3.22   55.39
  22.20    6.79    3.35   56.07
  22.47    5.67    3.34   56.74
  22.74    4.26    3.27   57.42
  23.01    2.63    3.14   58.09
  23.27    1.62    3.18   58.77
  23.54    1.09    3.45   59.45
  23.81    0.75    3.70   60.12
  24.08    0.17    3.67   60.80
