# Fit results:
# amplitude = 50.3727
# peak_pos[pc] = 15.9749
# width_left[pc] = 8.2931
# width_right[pc] = 3.6275
# chi_sq = 10.094
# ########################
# Dist[pc]    flux    flux_std    dist[pix]
   0.27   -0.49    1.81    0.68
   0.54   -0.01    1.72    1.36
   0.81    0.40    1.51    2.04
   1.08    1.45    1.47    2.72
   1.34    2.24    1.60    3.39
   1.61    2.99    1.80    4.07
   1.88    2.69    1.97    4.75
   2.15    3.14    2.13    5.43
   2.42    3.76    2.21    6.11
   2.69    4.66    2.17    6.79
   2.96    5.73    1.99    7.47
   3.23    6.57    1.87    8.15
   3.49    7.19    1.85    8.82
   3.76    7.21    2.02    9.50
   4.03    7.20    2.44   10.18
   4.30    7.30    3.03   10.86
   4.57    8.23    3.70   11.54
   4.84    8.99    4.08   12.22
   5.11   11.07    4.08   12.90
   5.38   12.43    3.92   13.58
   5.65   14.12    3.69   14.26
   5.91   15.98    3.23   14.93
   6.18   17.15    2.91   15.61
   6.45   17.67    2.76   16.29
   6.72   18.83    2.40   16.97
   6.99   19.21    1.88   17.65
   7.26   20.13    1.49   18.33
   7.53   19.89    1.18   19.01
   7.80   19.79    1.20   19.69
   8.06   19.90    1.37   20.36
   8.33   19.89    1.38   21.04
   8.60   20.59    1.41   21.72
   8.87   21.82    1.86   22.40
   9.14   23.89    2.43   23.08
   9.41   25.81    2.95   23.76
   9.68   27.31    3.46   24.44
   9.95   28.68    3.80   25.12
  10.21   29.79    3.92   25.79
  10.48   30.87    4.16   26.47
  10.75   32.11    4.30   27.15
  11.02   33.22    4.64   27.83
  11.29   33.40    5.14   28.51
  11.56   33.79    6.01   29.19
  11.83   34.18    7.68   29.87
  12.10   34.41   10.06   30.55
  12.37   35.60   12.91   31.23
  12.63   36.35   15.77   31.90
  12.90   37.38   18.70   32.58
  13.17   38.65   21.75   33.26
  13.44   43.68   24.67   33.94
  13.71   50.42   26.71   34.62
  13.98   56.77   26.98   35.30
  14.25   62.06   24.82   35.98
  14.52   64.86   21.58   36.66
  14.78   68.45   19.15   37.33
  15.05   69.13   17.48   38.01
  15.32   65.46   13.65   38.69
  15.59   61.00    9.01   39.37
  15.86   58.12    5.19   40.05
  16.13   54.16    3.97   40.73
  16.40   51.20    4.10   41.41
  16.67   46.11    4.56   42.09
  16.94   41.71    5.39   42.77
  17.20   37.05    5.78   43.44
  17.47   33.91    5.81   44.12
  17.74   31.53    5.45   44.80
  18.01   29.76    5.09   45.48
  18.28   27.33    4.69   46.16
  18.55   25.55    4.40   46.84
  18.82   23.71    4.28   47.52
  19.09   22.86    4.44   48.20
  19.35   21.95    4.74   48.87
  19.62   20.17    4.99   49.55
  19.89   17.81    5.09   50.23
  20.16   15.35    4.90   50.91
  20.43   13.48    4.74   51.59
  20.70   11.21    4.67   52.27
  20.97    9.53    4.75   52.95
  21.24    7.77    4.49   53.63
  21.50    6.34    4.23   54.30
  21.77    4.12    3.86   54.98
  22.04    2.79    3.70   55.66
  22.31    0.74    3.30   56.34
  22.58    0.30    2.87   57.02
