# Fit results:
# amplitude = 15.4167
# peak_pos[pc] = 16.2089
# width_left[pc] = 5.3827
# width_right[pc] = 0.6712
# chi_sq = 2.450
# ########################
# Dist[pc]    flux    flux_std    dist[pix]
   0.00   -1.02    6.60    0.00
   0.27   -0.04    6.51    0.68
   0.54    1.06    6.44    1.35
   0.80    3.33    6.30    2.03
   1.07    3.27    6.56    2.71
   1.34    2.89    7.12    3.38
   1.61    2.17    7.65    4.06
   1.88    1.74    7.94    4.74
   2.14    2.62    8.10    5.41
   2.41    4.09    6.85    6.09
   2.68    5.13    5.33    6.77
   2.95    5.17    3.78    7.44
   3.22    3.71    2.27    8.12
   3.48    1.97    1.38    8.80
   3.75    1.18    1.33    9.47
   4.02    0.77    1.84   10.15
   4.29    0.17    1.98   10.83
   4.56   -0.18    1.96   11.51
   4.82   -0.57    1.78   12.18
   5.09   -0.58    2.01   12.86
   5.36   -0.27    2.48   13.54
   5.63   -0.72    2.95   14.21
   5.90   -0.83    3.22   14.89
   6.16   -0.00    3.28   15.57
   6.43    1.04    3.23   16.24
   6.70    1.59    3.03   16.92
   6.97    1.42    2.83   17.60
   7.24    1.30    2.65   18.27
   7.50    1.16    2.72   18.95
   7.77    1.35    2.56   19.63
   8.04    1.37    2.29   20.30
   8.31    1.76    2.07   20.98
   8.58    2.28    1.97   21.66
   8.84    2.10    2.02   22.33
   9.11    2.31    1.95   23.01
   9.38    2.35    1.90   23.69
   9.65    2.99    1.97   24.36
   9.92    4.01    2.11   25.04
  10.18    4.87    2.23   25.72
  10.45    5.88    2.03   26.39
  10.72    7.05    1.85   27.07
  10.99    8.17    2.03   27.75
  11.26    8.70    2.59   28.42
  11.52   10.29    3.60   29.10
  11.79   10.77    4.85   29.78
  12.06   10.67    6.04   30.46
  12.33   11.12    6.26   31.13
  12.60   10.72    6.15   31.81
  12.86   10.54    5.84   32.49
  13.13   10.35    5.75   33.16
  13.40   10.51    5.68   33.84
  13.67   10.51    6.05   34.52
  13.94   10.02    6.56   35.19
  14.20    9.67    6.58   35.87
  14.47   12.78    6.98   36.55
  14.74   16.57    7.43   37.22
  15.01   16.89    7.83   37.90
  15.28   15.93    8.52   38.58
  15.54   14.24    8.66   39.25
  15.81   12.69    8.06   39.93
  16.08   11.07    7.19   40.61
  16.35    9.34    6.14   41.28
  16.62    7.53    5.09   41.96
  16.88    5.28    4.15   42.64
  17.15    2.42    3.40   43.31
  17.42    0.03    2.83   43.99
