# Fit results:
# amplitude = 139.5672
# peak_pos[pc] = 5.7717
# width_left[pc] = 1.8828
# width_right[pc] = 4.5061
# chi_sq = 59.022
# ########################
# Dist[pc]    flux    flux_std    dist[pix]
   0.00   -3.36    6.56    0.00
   0.27    0.23    6.97    0.68
   0.54    3.13    7.47    1.36
   0.81    6.55    7.87    2.04
   1.08    9.19    8.14    2.73
   1.35   11.31    7.92    3.41
   1.62   14.28    7.34    4.09
   1.89   15.61    6.99    4.77
   2.16   17.77    6.86    5.45
   2.43   21.58    6.92    6.13
   2.70   25.78    7.24    6.81
   2.97   30.03    7.60    7.49
   3.24   34.07    7.53    8.18
   3.51   38.90    7.01    8.86
   3.78   48.54    7.23    9.54
   4.05   60.42   10.34   10.22
   4.32   77.09   15.34   10.90
   4.59   98.43   23.97   11.58
   4.86  114.48   41.85   12.26
   5.13  144.21   64.48   12.94
   5.40  169.61   85.86   13.63
   5.67  186.45  102.38   14.31
   5.94  197.58  114.84   14.99
   6.21  203.23  124.30   15.67
   6.48  198.07  124.45   16.35
   6.74  186.59  112.79   17.03
   7.01  165.08   93.62   17.71
   7.28  143.62   74.37   18.40
   7.55  123.03   59.95   19.08
   7.82  105.70   47.58   19.76
   8.09   95.17   35.61   20.44
   8.36   84.43   26.23   21.12
   8.63   76.83   21.07   21.80
   8.90   70.46   17.94   22.48
   9.17   64.07   14.65   23.16
   9.44   58.17   11.49   23.85
   9.71   53.05    8.44   24.53
   9.98   47.06    5.84   25.21
  10.25   42.34    4.91   25.89
  10.52   37.42    4.63   26.57
  10.79   35.39    4.56   27.25
  11.06   31.97    4.41   27.93
  11.33   30.11    4.02   28.61
  11.60   28.65    3.60   29.30
  11.87   27.05    3.16   29.98
  12.14   25.01    2.71   30.66
  12.41   21.32    2.92   31.34
  12.68   18.37    3.02   32.02
  12.95   16.09    3.51   32.70
  13.22   13.75    4.26   33.38
  13.49   11.80    4.43   34.06
  13.76    8.90    4.37   34.75
  14.03    6.84    4.49   35.43
  14.30    6.22    4.75   36.11
  14.57    6.54    4.96   36.79
  14.84    5.51    5.22   37.47
  15.11    4.09    5.59   38.15
  15.38    1.38    6.00   38.83
  15.65   -0.46    6.29   39.52
  15.92    0.25    6.33   40.20
  16.19   -0.02    6.05   40.88
  16.46   -0.18    5.27   41.56
