43.771 36.03  2.71
44.214 36.03  2.71
44.656 35.64  4.16
45.098 24.60  4.29
45.541 24.60  4.29
45.983 29.73  6.08
46.426 29.73  6.08
46.868 27.19  5.78
47.311 27.19  5.78
47.753 27.19  5.78
48.196 27.19  5.78
48.638 32.89  7.90
49.080 35.17  11.50
49.523 33.65  17.25
49.965 33.65  17.25
50.408 14.54  5.48
50.850 12.09  2.75
51.293 11.44  2.27
51.735 9.01  1.86
52.178 9.01  1.86
52.620 9.01  1.86
53.062 9.01  1.86
53.505 9.01  1.86
53.947 7.59  1.64
54.390 7.59  1.64
54.832 7.59  1.64
55.275 7.59  1.64
55.717 7.59  1.64
56.160 6.46  1.51
56.602 5.78  2.12
57.044 3.59  1.32
57.487 1.24  0.60
57.929 1.24  0.60
58.372 1.24  0.60
58.814 1.24  0.60
59.257 1.24  0.60
59.699 12.59  4.50
60.142 12.59  4.50
60.584 15.02  5.75
61.026 26.24  6.33
61.469 33.87  12.48
61.911 14.93  5.92
62.354 14.93  5.92
62.796 14.93  5.92
63.239 14.93  5.92
63.681 14.93  5.92
64.124 14.93  5.92
64.566 25.46  11.10
65.008 25.46  11.10
65.451 34.82  16.65
