# Fit results:
# amplitude = 7.7764
# peak_pos[pc] = 7.4050
# width_left[pc] = 0.6044
# width_right[pc] = 5.0874
# chi_sq = 1.151
# ########################
# Dist[pc]    flux    flux_std    dist[pix]
   0.00   -0.77    3.99    0.00
   0.27    0.20    4.48    0.69
   0.54    0.57    4.75    1.37
   0.82   -0.29    5.11    2.06
   1.09   -0.91    5.14    2.75
   1.36   -0.73    4.13    3.44
   1.63   -0.95    2.96    4.12
   1.90   -0.86    1.88    4.81
   2.18   -1.07    1.55    5.50
   2.45   -1.82    2.06    6.18
   2.72   -1.89    2.36    6.87
   2.99   -1.73    2.49    7.56
   3.26   -1.53    2.41    8.24
   3.54   -1.35    2.30    8.93
   3.81   -0.84    2.25    9.62
   4.08   -1.03    2.33   10.31
   4.35   -2.09    2.70   10.99
   4.63   -1.98    3.16   11.68
   4.90   -3.21    3.58   12.37
   5.17   -3.90    3.59   13.05
   5.44   -3.03    3.47   13.74
   5.71   -1.88    3.39   14.43
   5.99   -0.36    3.31   15.12
   6.26    1.56    3.23   15.80
   6.53    3.66    2.92   16.49
   6.80    4.70    2.24   17.18
   7.07    5.66    1.39   17.86
   7.35    6.45    0.94   18.55
   7.62    7.16    1.14   19.24
   7.89    7.11    1.20   19.92
   8.16    7.04    1.09   20.61
   8.43    6.90    1.35   21.30
   8.71    6.63    1.89   21.99
   8.98    6.83    2.25   22.67
   9.25    6.98    2.43   23.36
   9.52    6.72    2.43   24.05
   9.79    6.25    2.35   24.73
  10.07    5.64    2.40   25.42
  10.34    4.81    2.52   26.11
  10.61    4.20    2.54   26.80
  10.88    4.02    2.43   27.48
  11.16    3.75    2.21   28.17
  11.43    3.94    2.10   28.86
  11.70    4.23    1.98   29.54
  11.97    3.83    1.89   30.23
  12.24    3.28    1.91   30.92
  12.52    2.44    1.88   31.60
  12.79    1.97    1.94   32.29
  13.06    1.93    2.24   32.98
  13.33    2.02    2.65   33.67
  13.60    2.71    2.73   34.35
  13.88    2.32    2.73   35.04
  14.15    1.47    2.70   35.73
  14.42    0.84    2.58   36.41
  14.69    0.41    2.45   37.10
  14.96    0.09    2.43   37.79
