# Fit results:
# amplitude = 74.0512
# peak_pos[pc] = 15.0991
# width_left[pc] = 7.9977
# width_right[pc] = 3.9097
# chi_sq = 33.173
# ########################
# Dist[pc]    flux    flux_std    dist[pix]
   0.00   -1.04    3.92    0.00
   0.27   -0.07    4.00    0.68
   0.54    1.10    4.13    1.35
   0.80    1.91    4.17    2.03
   1.07    2.63    4.20    2.70
   1.34    3.31    4.18    3.38
   1.61    4.93    4.33    4.05
   1.87    6.18    4.71    4.73
   2.14    7.33    5.22    5.40
   2.41    9.04    5.83    6.08
   2.68    9.82    6.35    6.76
   2.94   10.96    6.63    7.43
   3.21   12.23    6.57    8.11
   3.48   14.15    6.38    8.78
   3.75   15.07    6.32    9.46
   4.01   17.10    6.38   10.13
   4.28   18.56    6.44   10.81
   4.55   19.85    6.33   11.48
   4.82   20.92    6.25   12.16
   5.08   21.91    6.25   12.83
   5.35   23.07    6.06   13.51
   5.62   24.22    5.69   14.19
   5.89   25.82    5.39   14.86
   6.15   27.16    5.32   15.54
   6.42   28.64    5.28   16.21
   6.69   29.78    5.13   16.89
   6.96   31.33    4.99   17.56
   7.22   32.52    5.00   18.24
   7.49   33.06    5.25   18.91
   7.76   33.16    5.63   19.59
   8.03   32.91    6.05   20.27
   8.29   33.22    6.43   20.94
   8.56   33.92    6.75   21.62
   8.83   35.22    6.91   22.29
   9.10   37.25    6.92   22.97
   9.36   39.30    6.81   23.64
   9.63   41.62    6.75   24.32
   9.90   43.41    6.82   24.99
  10.17   44.73    7.04   25.67
  10.43   46.70    7.44   26.35
  10.70   47.93    8.09   27.02
  10.97   49.44    8.72   27.70
  11.24   50.49    9.41   28.37
  11.50   50.80   10.45   29.05
  11.77   53.16   11.50   29.72
  12.04   56.53   12.48   30.40
  12.31   60.26   12.61   31.07
  12.57   67.95   12.49   31.75
  12.84   77.02   12.26   32.42
  13.11   86.10   12.67   33.10
  13.38   93.83   15.65   33.78
  13.64   99.44   20.27   34.45
  13.91  103.57   26.22   35.13
  14.18  111.46   33.15   35.80
  14.45  110.28   40.16   36.48
  14.71  107.36   47.01   37.15
  14.98  100.20   51.37   37.83
  15.25   93.85   53.63   38.50
  15.52   88.57   50.82   39.18
  15.78   81.97   45.58   39.86
  16.05   74.45   39.29   40.53
  16.32   67.41   31.72   41.21
  16.59   60.88   24.45   41.88
  16.85   53.20   18.29   42.56
  17.12   48.54   13.10   43.23
  17.39   45.34    8.44   43.91
  17.66   40.89    6.07   44.58
  17.92   36.35    4.67   45.26
  18.19   32.25    4.19   45.94
  18.46   26.66    4.06   46.61
  18.73   22.52    4.09   47.29
  18.99   18.97    4.16   47.96
  19.26   15.89    4.32   48.64
  19.53   16.46    4.49   49.31
  19.80   15.58    4.88   49.99
  20.06   14.88    5.10   50.66
  20.33   14.10    5.14   51.34
  20.60   13.06    5.00   52.01
  20.87   11.48    4.62   52.69
  21.13   10.17    4.22   53.37
  21.40    8.55    3.80   54.04
  21.67    8.19    3.37   54.72
  21.94    7.66    2.99   55.39
  22.20    7.48    2.64   56.07
  22.47    7.07    2.37   56.74
  22.74    6.22    2.12   57.42
  23.01    5.96    1.92   58.09
  23.27    5.28    1.74   58.77
  23.54    4.30    1.71   59.45
  23.81    3.56    1.89   60.12
  24.08    2.42    2.18   60.80
  24.34    1.38    2.41   61.47
  24.61    0.49    2.61   62.15
  24.88   -0.11    2.67   62.82
