# Fit results:
# amplitude = 88.6525
# peak_pos[pc] = 4.0139
# width_left[pc] = 0.6020
# width_right[pc] = 4.6274
# chi_sq = 40.100
# ########################
# Dist[pc]    flux    flux_std    dist[pix]
   0.00   -3.04    3.72    0.00
   0.27    0.65    3.49    0.69
   0.55    2.39    3.28    1.38
   0.82    3.78    3.22    2.07
   1.09    4.64    3.57    2.75
   1.36    6.39    4.59    3.44
   1.64    8.46    6.20    4.13
   1.91   10.91    7.98    4.82
   2.18   14.20   10.26    5.51
   2.45   17.06   12.69    6.20
   2.73   20.27   14.71    6.88
   3.00   27.34   15.97    7.57
   3.27   38.45   17.89    8.26
   3.54   53.06   21.62    8.95
   3.82   69.27   26.59    9.64
   4.09   82.75   30.70   10.33
   4.36   95.82   32.67   11.01
   4.63  105.40   32.31   11.70
   4.91  103.43   28.96   12.39
   5.18   97.91   22.90   13.08
   5.45   89.45   16.18   13.77
   5.72   78.29    8.76   14.46
   6.00   67.53    3.30   15.14
   6.27   57.78    7.39   15.83
   6.54   44.71   11.11   16.52
   6.81   40.24   12.41   17.21
   7.09   37.15   12.83   17.90
   7.36   36.66   12.87   18.59
   7.63   36.24   11.77   19.27
   7.90   34.67   10.09   19.96
   8.18   32.65    8.38   20.65
   8.45   30.65    5.71   21.34
   8.72   29.34    3.37   22.03
   9.00   28.86    2.96   22.72
   9.27   26.15    3.74   23.40
   9.54   22.91    5.30   24.09
   9.81   19.75    6.21   24.78
  10.09   19.43    7.35   25.47
  10.36   17.24    8.80   26.16
  10.63   13.97    9.74   26.85
  10.90    9.61   10.84   27.53
  11.18    5.45   12.33   28.22
  11.45    2.63   13.50   28.91
  11.72    0.05   13.98   29.60
