# Fit results:
# amplitude = 13.9407
# peak_pos[pc] = 12.8171
# width_left[pc] = 14.0942
# width_right[pc] = 4.6200
# chi_sq = 10.890
# ########################
# Dist[pc]    flux    flux_std    dist[pix]
   0.00   -1.64    1.81    0.00
   0.27   -0.16    1.97    0.68
   0.54    1.80    2.20    1.36
   0.81    2.89    2.33    2.03
   1.07    4.54    2.48    2.71
   1.34    6.43    2.85    3.39
   1.61   10.95    3.29    4.07
   1.88   13.13    3.72    4.75
   2.15   17.46    3.99    5.43
   2.42   21.88    5.54    6.10
   2.69   26.54    8.58    6.78
   2.95   27.62   11.60    7.46
   3.22   27.88   14.61    8.14
   3.49   27.53   16.69    8.82
   3.76   27.38   17.39    9.50
   4.03   27.20   16.86   10.17
   4.30   24.76   15.81   10.85
   4.57   21.79   14.18   11.53
   4.83   18.55   12.16   12.21
   5.10   15.72    9.81   12.89
   5.37   13.66    7.35   13.56
   5.64   11.60    5.14   14.24
   5.91   10.45    3.27   14.92
   6.18    8.99    2.60   15.60
   6.45    7.49    2.48   16.28
   6.71    6.71    2.29   16.96
   6.98    7.05    2.28   17.63
   7.25    7.40    2.35   18.31
   7.52    8.65    2.31   18.99
   7.79    9.41    2.10   19.67
   8.06   10.00    1.78   20.35
   8.33   10.78    1.56   21.03
   8.59   11.42    1.66   21.70
   8.86   12.13    1.85   22.38
   9.13   12.51    1.90   23.06
   9.40   12.81    1.69   23.74
   9.67   13.30    1.64   24.42
   9.94   13.31    1.76   25.09
  10.21   12.47    1.66   25.77
  10.47   11.47    1.50   26.45
  10.74   11.15    1.61   27.13
  11.01   10.95    1.72   27.81
  11.28   11.15    1.66   28.49
  11.55   10.23    1.69   29.16
  11.82   11.06    1.66   29.84
  12.09   11.17    1.53   30.52
  12.35   11.02    1.43   31.20
  12.62   11.43    1.50   31.88
  12.89   12.01    1.54   32.56
  13.16   12.61    1.64   33.23
  13.43   13.17    1.73   33.91
  13.70   13.56    1.68   34.59
  13.97   13.34    1.56   35.27
  14.23   12.73    1.80   35.95
  14.50   12.19    2.15   36.62
  14.77   11.05    2.52   37.30
  15.04    9.80    2.69   37.98
  15.31    8.49    2.65   38.66
  15.58    7.56    2.43   39.34
  15.85    6.95    2.01   40.02
  16.11    6.72    1.37   40.69
  16.38    5.95    1.15   41.37
  16.65    5.90    1.17   42.05
  16.92    6.31    0.92   42.73
  17.19    6.01    0.52   43.41
  17.46    5.74    0.73   44.09
  17.73    5.39    1.34   44.76
  17.99    5.87    1.98   45.44
  18.26    5.63    2.38   46.12
  18.53    4.84    2.29   46.80
  18.80    2.84    1.81   47.48
  19.07    1.69    1.26   48.15
  19.34    1.41    0.90   48.83
  19.61    0.89    0.81   49.51
  19.87   -0.14    0.97   50.19
