# Fit results:
# amplitude = 33.6577
# peak_pos[pc] = 16.3092
# width_left[pc] = 10.3867
# width_right[pc] = 2.6077
# chi_sq = 5.115
# ########################
# Dist[pc]    flux    flux_std    dist[pix]
   0.00   -1.69    2.70    0.00
   0.27   -0.16    2.48    0.68
   0.54    1.86    2.53    1.35
   0.80    2.25    2.66    2.03
   1.07    3.07    2.85    2.70
   1.34    3.61    2.94    3.38
   1.61    4.13    3.00    4.05
   1.87    4.53    3.04    4.73
   2.14    4.53    3.09    5.41
   2.41    4.62    2.81    6.08
   2.68    4.57    2.28    6.76
   2.94    4.80    1.66    7.43
   3.21    5.18    1.29    8.11
   3.48    5.39    1.13    8.78
   3.75    5.70    1.22    9.46
   4.01    6.62    1.52   10.14
   4.28    7.83    1.74   10.81
   4.55    8.98    1.96   11.49
   4.82    9.81    2.21   12.16
   5.08   11.19    2.59   12.84
   5.35   12.25    2.88   13.51
   5.62   13.31    2.99   14.19
   5.89   14.76    2.61   14.87
   6.15   16.42    2.07   15.54
   6.42   17.75    1.93   16.22
   6.69   19.30    2.07   16.89
   6.96   20.36    2.43   17.57
   7.23   21.08    2.43   18.25
   7.49   21.34    2.35   18.92
   7.76   21.21    2.25   19.60
   8.03   21.16    2.28   20.27
   8.30   21.57    2.46   20.95
   8.56   21.47    2.62   21.62
   8.83   21.58    2.65   22.30
   9.10   21.48    2.62   22.98
   9.37   22.11    2.47   23.65
   9.63   23.30    2.35   24.33
   9.90   24.10    2.41   25.00
  10.17   24.85    2.71   25.68
  10.44   25.23    3.00   26.35
  10.70   25.75    2.98   27.03
  10.97   26.50    3.01   27.71
  11.24   26.54    2.97   28.38
  11.51   27.36    3.06   29.06
  11.77   27.49    3.30   29.73
  12.04   27.51    3.65   30.41
  12.31   27.13    3.83   31.08
  12.58   26.63    4.15   31.76
  12.84   26.88    4.97   32.44
  13.11   27.54    5.88   33.11
  13.38   27.51    6.90   33.79
  13.65   27.52    7.75   34.46
  13.91   28.08    8.13   35.14
  14.18   28.47    8.08   35.81
  14.45   29.19    7.72   36.49
  14.72   30.13    7.13   37.17
  14.99   31.02    6.57   37.84
  15.25   33.09    6.07   38.52
  15.52   35.56    5.74   39.19
  15.79   34.60    5.45   39.87
  16.06   33.57    5.09   40.54
  16.32   32.83    5.51   41.22
  16.59   32.02    6.11   41.90
  16.86   29.89    6.44   42.57
  17.13   28.11    7.13   43.25
  17.39   26.79    8.06   43.92
  17.66   22.46    8.88   44.60
  17.93   22.04    9.07   45.27
  18.20   17.16    9.05   45.95
  18.46   14.70    8.99   46.63
  18.73   11.79    8.86   47.30
  19.00    9.45    8.66   47.98
  19.27    7.21    7.95   48.65
  19.53    4.85    7.36   49.33
  19.80    2.21    6.91   50.01
  20.07   -0.12    6.69   50.68
