# Fit results:
# amplitude = 72.5677
# peak_pos[pc] = 16.2822
# width_left[pc] = 7.4265
# width_right[pc] = 2.8891
# chi_sq = 31.896
# ########################
# Dist[pc]    flux    flux_std    dist[pix]
   0.00   -1.14    0.92    0.00
   0.27    0.03    0.88    0.68
   0.54    1.11    1.15    1.35
   0.80    2.27    1.60    2.03
   1.07    3.17    1.87    2.71
   1.34    3.65    1.87    3.38
   1.61    3.82    1.75    4.06
   1.87    3.79    1.84    4.73
   2.14    4.07    2.00    5.41
   2.41    4.74    2.30    6.09
   2.68    4.87    2.60    6.76
   2.95    5.22    2.82    7.44
   3.21    5.66    2.65    8.12
   3.48    6.54    2.36    8.79
   3.75    7.67    2.30    9.47
   4.02    8.87    2.57   10.15
   4.29   10.17    2.84   10.82
   4.55   11.15    3.12   11.50
   4.82   12.82    3.05   12.17
   5.09   14.72    3.16   12.85
   5.36   16.33    3.73   13.53
   5.62   17.14    4.78   14.20
   5.89   18.30    5.76   14.88
   6.16   19.34    6.88   15.56
   6.43   20.66    7.11   16.23
   6.70   21.82    6.97   16.91
   6.96   23.13    6.61   17.59
   7.23   24.20    6.36   18.26
   7.50   24.91    5.96   18.94
   7.77   24.88    5.48   19.61
   8.04   24.78    5.12   20.29
   8.30   24.10    4.77   20.97
   8.57   23.25    4.47   21.64
   8.84   22.87    4.38   22.32
   9.11   23.75    4.55   23.00
   9.37   25.26    4.88   23.67
   9.64   27.34    5.38   24.35
   9.91   28.45    5.67   25.03
  10.18   29.77    5.77   25.70
  10.45   31.56    5.76   26.38
  10.71   33.88    5.91   27.05
  10.98   37.07    6.37   27.73
  11.25   38.68    6.95   28.41
  11.52   40.35    7.29   29.08
  11.79   42.63    7.64   29.76
  12.05   46.11    8.19   30.44
  12.32   48.11    9.28   31.11
  12.59   51.58   10.72   31.79
  12.86   54.55   12.28   32.47
  13.12   59.52   13.20   33.14
  13.39   65.72   14.29   33.82
  13.66   68.90   15.36   34.49
  13.93   79.42   16.18   35.17
  14.20   84.83   16.66   35.85
  14.46   91.60   16.48   36.52
  14.73   95.68   15.96   37.20
  15.00  100.24   14.63   37.88
  15.27   98.73   13.47   38.55
  15.53   90.59   12.76   39.23
  15.80   87.10   12.85   39.91
  16.07   78.98   11.34   40.58
  16.34   73.44    8.41   41.26
  16.61   68.34    6.30   41.93
  16.87   60.94    5.92   42.61
  17.14   53.59    5.88   43.29
  17.41   47.07    5.31   43.96
  17.68   42.57    5.05   44.64
  17.95   39.12    5.13   45.32
  18.21   36.09    5.31   45.99
  18.48   33.16    5.61   46.67
  18.75   30.24    6.09   47.35
  19.02   27.78    6.67   48.02
  19.28   25.04    7.13   48.70
  19.55   22.49    7.36   49.38
  19.82   19.17    7.28   50.05
  20.09   16.08    6.83   50.73
  20.36   13.56    6.20   51.40
  20.62   11.07    5.33   52.08
  20.89    8.77    4.60   52.76
  21.16    6.88    4.05   53.43
  21.43    5.51    3.72   54.11
  21.70    3.71    3.67   54.79
  21.96    2.03    3.89   55.46
  22.23    0.81    4.07   56.14
  22.50   -0.07    4.06   56.82
