# Fit results:
# amplitude = 15.7427
# peak_pos[pc] = 10.6980
# width_left[pc] = 4.2256
# width_right[pc] = 4.3797
# chi_sq = 0.873
# ########################
# Dist[pc]    flux    flux_std    dist[pix]
   0.81   -1.19    2.12    2.05
   1.08   -0.20    2.29    2.74
   1.36   -0.06    2.32    3.42
   1.63    0.18    2.35    4.11
   1.90    0.03    2.28    4.79
   2.17    0.27    1.93    5.48
   2.44    0.51    1.72    6.16
   2.71    0.66    1.72    6.85
   2.98    0.19    1.78    7.53
   3.25    0.04    1.97    8.22
   3.53   -0.00    2.29    8.90
   3.80    0.37    2.82    9.59
   4.07    1.21    3.33   10.27
   4.34    2.43    4.01   10.96
   4.61    3.32    4.47   11.64
   4.88    4.30    4.80   12.33
   5.15    4.31    4.53   13.01
   5.42    4.32    3.78   13.69
   5.69    4.31    2.74   14.38
   5.97    5.15    1.75   15.06
   6.24    5.47    1.26   15.75
   6.51    6.10    1.71   16.43
   6.78    7.14    2.45   17.12
   7.05    8.82    3.11   17.80
   7.32   10.39    3.50   18.49
   7.59   10.38    3.72   19.17
   7.86   10.68    3.70   19.86
   8.13   11.79    3.50   20.54
   8.41   13.26    2.76   21.23
   8.68   12.96    2.03   21.91
   8.95   12.36    2.03   22.60
   9.22   11.95    2.80   23.28
   9.49   11.85    3.79   23.97
   9.76   13.67    4.67   24.65
  10.03   15.43    5.48   25.34
  10.30   17.01    6.57   26.02
  10.58   17.45    7.96   26.70
  10.85   17.89    9.37   27.39
  11.12   18.18   10.48   28.07
  11.39   17.67   11.00   28.76
  11.66   16.44   11.01   29.44
  11.93   14.80   10.67   30.13
  12.20   12.98    9.92   30.81
  12.47   11.62    8.94   31.50
  12.74   10.65    7.83   32.18
  13.02    9.76    6.88   32.87
  13.29    9.60    6.31   33.55
  13.56    9.23    5.83   34.24
  13.83    8.53    5.47   34.92
  14.10    7.79    5.53   35.61
  14.37    6.75    5.96   36.29
  14.64    6.42    6.45   36.98
  14.91    6.47    6.54   37.66
  15.18    6.08    6.57   38.35
  15.46    5.49    6.62   39.03
  15.73    4.99    6.74   39.71
  16.00    4.06    6.78   40.40
  16.27    3.34    6.74   41.08
  16.54    3.45    6.33   41.77
  16.81    2.86    5.74   42.45
  17.08    1.21    5.08   43.14
  17.35   -0.09    4.28   43.82
