# Fit results:
# amplitude = 60.3782
# peak_pos[pc] = 11.6283
# width_left[pc] = 6.4868
# width_right[pc] = 5.3891
# chi_sq = 8.139
# ########################
# Dist[pc]    flux    flux_std    dist[pix]
   0.00   -1.93    2.21    0.00
   0.27    0.12    2.55    0.68
   0.54    1.82    2.66    1.35
   0.80    3.23    2.67    2.03
   1.07    4.47    2.56    2.71
   1.34    6.02    2.60    3.38
   1.61    7.68    2.75    4.06
   1.87    8.74    2.96    4.73
   2.14   10.35    3.17    5.41
   2.41   11.72    3.43    6.09
   2.68   11.70    3.95    6.76
   2.95   12.55    4.63    7.44
   3.21   13.47    5.41    8.12
   3.48   14.95    6.15    8.79
   3.75   16.65    7.08    9.47
   4.02   18.63    8.12   10.15
   4.29   21.23    9.08   10.82
   4.55   23.93    9.96   11.50
   4.82   26.35   10.34   12.17
   5.09   27.86   10.50   12.85
   5.36   29.24   10.39   13.53
   5.62   30.10   10.07   14.20
   5.89   29.87    9.65   14.88
   6.16   29.80    9.23   15.56
   6.43   30.07    8.86   16.23
   6.70   30.93    8.65   16.91
   6.96   32.04    8.63   17.59
   7.23   33.45    8.69   18.26
   7.50   35.27    8.36   18.94
   7.77   37.21    7.55   19.61
   8.04   44.13    6.73   20.29
   8.30   49.48    6.79   20.97
   8.57   53.66    7.39   21.64
   8.84   56.34    8.11   22.32
   9.11   57.94    9.15   23.00
   9.37   60.52   10.26   23.67
   9.64   62.98   11.53   24.35
   9.91   65.05   13.01   25.03
  10.18   64.23   14.57   25.70
  10.45   61.51   15.35   26.38
  10.71   60.39   16.20   27.05
  10.98   59.93   16.03   27.73
  11.25   58.03   15.14   28.41
  11.52   56.64   14.19   29.08
  11.78   55.62   13.22   29.76
  12.05   53.35   12.29   30.44
  12.32   50.77   11.50   31.11
  12.59   48.87   10.99   31.79
  12.86   46.75   10.57   32.47
  13.12   45.26   10.24   33.14
  13.39   45.85    9.87   33.82
  13.66   47.14    9.55   34.49
  13.93   48.16    9.28   35.17
  14.20   50.15    8.88   35.85
  14.46   50.71    8.52   36.52
  14.73   48.74    7.87   37.20
  15.00   46.04    6.79   37.88
  15.27   41.12    5.72   38.55
  15.53   36.25    4.82   39.23
  15.80   32.03    4.09   39.91
  16.07   28.30    3.76   40.58
  16.34   24.91    3.91   41.26
  16.61   22.05    3.85   41.93
  16.87   18.62    3.47   42.61
  17.14   16.97    2.95   43.29
  17.41   15.46    2.60   43.96
  17.68   13.47    2.47   44.64
  17.95   12.60    2.41   45.32
  18.21   11.12    2.26   45.99
  18.48   10.92    2.27   46.67
  18.75   10.20    2.45   47.34
  19.02    9.17    2.63   48.02
  19.28    7.69    2.77   48.70
  19.55    7.22    2.78   49.37
  19.82    5.73    2.68   50.05
  20.09    4.66    2.62   50.73
  20.36    3.91    2.47   51.40
  20.62    3.83    2.19   52.08
  20.89    3.73    2.15   52.76
  21.16    3.00    2.22   53.43
  21.43    2.32    2.25   54.11
  21.69    1.61    2.08   54.78
  21.96    0.72    1.74   55.46
  22.23    0.23    1.49   56.14
