# Fit results:
# amplitude = 50.1295
# peak_pos[pc] = 11.8479
# width_left[pc] = 8.3921
# width_right[pc] = 4.3296
# chi_sq = 5.836
# ########################
# Dist[pc]    flux    flux_std    dist[pix]
   0.00   -1.35    6.08    0.00
   0.27   -0.08    6.24    0.68
   0.54    1.43    6.46    1.36
   0.81    2.49    6.86    2.05
   1.08    2.81    7.35    2.73
   1.35    3.00    7.62    3.41
   1.62    5.02    7.81    4.09
   1.89    8.10    7.98    4.77
   2.16   10.87    8.24    5.46
   2.43   13.84    8.19    6.14
   2.70   15.60    7.22    6.82
   2.97   17.05    5.43    7.50
   3.24   18.44    3.50    8.19
   3.51   20.92    2.01    8.87
   3.78   23.40    1.43    9.55
   4.05   24.43    1.33   10.23
   4.32   25.26    1.24   10.91
   4.59   26.54    1.44   11.60
   4.86   27.00    2.14   12.28
   5.13   27.63    2.53   12.96
   5.40   28.86    2.45   13.64
   5.67   30.27    2.30   14.32
   5.94   32.35    2.49   15.01
   6.21   34.44    2.84   15.69
   6.48   34.56    2.99   16.37
   6.75   34.70    2.99   17.05
   7.02   35.13    3.07   17.73
   7.29   36.18    2.77   18.42
   7.56   37.66    2.20   19.10
   7.83   38.84    2.09   19.78
   8.10   39.14    2.40   20.46
   8.37   40.46    2.54   21.14
   8.64   41.73    2.38   21.83
   8.91   42.76    2.27   22.51
   9.18   44.95    2.78   23.19
   9.45   48.43    3.86   23.87
   9.72   51.31    5.06   24.56
   9.99   52.43    6.13   25.24
  10.26   53.47    6.63   25.92
  10.53   53.20    6.43   26.60
  10.80   51.23    5.39   27.28
  11.07   49.71    3.83   27.97
  11.34   48.33    1.95   28.65
  11.61   47.04    1.47   29.33
  11.88   45.75    3.71   30.01
  12.15   46.47    5.93   30.69
  12.43   47.33    7.79   31.38
  12.70   47.68    9.54   32.06
  12.97   48.04   10.81   32.74
  13.24   47.79   11.15   33.42
  13.51   44.57   10.66   34.10
  13.78   41.12    9.82   34.79
  14.05   37.58    8.75   35.47
  14.32   34.50    7.65   36.15
  14.59   31.73    6.63   36.83
  14.86   29.49    5.80   37.52
  15.13   26.12    5.23   38.20
  15.40   22.87    4.92   38.88
  15.67   21.04    4.74   39.56
  15.94   19.62    4.40   40.24
  16.21   18.30    4.18   40.93
  16.48   16.86    4.02   41.61
  16.75   14.91    3.84   42.29
  17.02   12.97    3.57   42.97
  17.29   11.05    3.17   43.65
  17.56    8.88    2.94   44.34
  17.83    7.30    2.87   45.02
  18.10    5.35    3.16   45.70
  18.37    3.44    3.38   46.38
  18.64    1.83    3.57   47.06
  18.91    0.87    3.61   47.75
  19.18    0.60    3.61   48.43
  19.45    0.50    3.55   49.11
  19.72   -0.02    3.42   49.79
