# Fit results:
# amplitude = 80.6266
# peak_pos[pc] = 7.6723
# width_left[pc] = 4.2803
# width_right[pc] = 5.2975
# chi_sq = 14.801
# ########################
# Dist[pc]    flux    flux_std    dist[pix]
   0.00   -3.67    2.51    0.00
   0.27   -0.27    2.47    0.68
   0.54    3.94    2.66    1.36
   0.81    6.55    3.59    2.05
   1.08    8.50    4.44    2.73
   1.35    9.06    5.16    3.41
   1.62   12.39    6.13    4.09
   1.89   16.03    7.33    4.78
   2.16   19.68    8.57    5.46
   2.43   22.18   10.07    6.14
   2.70   23.81   11.38    6.82
   2.97   27.86   12.40    7.50
   3.24   33.53   13.47    8.19
   3.51   37.85   14.98    8.87
   3.78   43.21   16.93    9.55
   4.05   51.66   19.27   10.23
   4.32   57.98   22.01   10.92
   4.59   61.52   25.18   11.60
   4.86   64.27   27.61   12.28
   5.13   68.65   28.53   12.96
   5.40   72.69   27.46   13.65
   5.67   72.51   24.20   14.33
   5.94   72.90   19.21   15.01
   6.21   74.73   14.06   15.69
   6.48   70.55   11.48   16.37
   6.75   67.48   13.66   17.06
   7.02   67.28   18.68   17.74
   7.29   65.19   24.07   18.42
   7.56   64.10   27.42   19.10
   7.84   62.19   27.98   19.79
   8.11   64.62   26.59   20.47
   8.38   68.70   24.37   21.15
   8.65   71.34   21.85   21.83
   8.92   72.20   18.76   22.51
   9.19   71.34   15.28   23.20
   9.46   68.99   12.33   23.88
   9.73   66.85   10.62   24.56
  10.00   64.47    9.53   25.24
  10.27   61.93    8.26   25.93
  10.54   57.42    7.16   26.61
  10.81   52.81    6.12   27.29
  11.08   48.98    4.61   27.97
  11.35   48.29    3.06   28.66
  11.62   45.29    2.41   29.34
  11.89   42.60    1.63   30.02
  12.16   40.40    1.19   30.70
  12.43   37.92    1.54   31.38
  12.70   34.80    1.87   32.07
  12.97   31.02    2.23   32.75
  13.24   27.81    2.63   33.43
  13.51   24.85    2.57   34.11
  13.78   20.26    2.59   34.80
  14.05   16.08    2.54   35.48
  14.32   13.08    2.25   36.16
  14.59   11.08    1.97   36.84
  14.86    8.69    1.72   37.52
  15.13    5.86    1.38   38.21
  15.40    2.97    1.29   38.89
  15.67   -0.07    1.87   39.57
