# Fit results:
# amplitude = 21.2713
# peak_pos[pc] = 2.1046
# width_left[pc] = 0.6019
# width_right[pc] = 14.8281
# chi_sq = 15.331
# ########################
# Dist[pc]    flux    flux_std    dist[pix]
   0.00   -1.46    3.91    0.00
   0.27   -0.02    4.05    0.68
   0.54    1.49    4.25    1.36
   0.81    3.21    4.70    2.03
   1.07    5.03    5.58    2.71
   1.34    7.80    6.97    3.39
   1.61   12.38    8.52    4.07
   1.88   16.51   10.03    4.75
   2.15   19.04   12.27    5.43
   2.42   24.74   15.59    6.10
   2.69   30.39   19.07    6.78
   2.95   32.75   22.30    7.46
   3.22   38.58   24.48    8.14
   3.49   42.53   24.63    8.82
   3.76   41.81   23.58    9.50
   4.03   38.29   21.66   10.17
   4.30   32.51   19.45   10.85
   4.57   29.67   16.73   11.53
   4.83   25.70   13.94   12.21
   5.10   21.01   11.15   12.89
   5.37   18.37    7.99   13.56
   5.64   15.09    5.03   14.24
   5.91   13.53    3.28   14.92
   6.18   11.90    2.60   15.60
   6.45   11.13    1.98   16.28
   6.71   11.02    1.97   16.96
   6.98   11.02    2.38   17.63
   7.25   11.37    2.62   18.31
   7.52   12.44    2.64   18.99
   7.79   12.78    2.51   19.67
   8.06   14.50    2.25   20.35
   8.33   15.23    2.08   21.03
   8.59   16.13    2.10   21.70
   8.86   16.42    2.56   22.38
   9.13   16.43    3.36   23.06
   9.40   16.26    4.22   23.74
   9.67   16.17    4.87   24.42
   9.94   16.19    5.21   25.09
  10.21   16.24    5.01   25.77
  10.47   16.25    4.58   26.45
  10.74   16.58    3.89   27.13
  11.01   16.73    3.83   27.81
  11.28   15.99    4.07   28.49
  11.55   14.63    4.10   29.16
  11.82   13.89    3.49   29.84
  12.09   13.33    2.77   30.52
  12.35   13.12    2.18   31.20
  12.62   13.12    1.69   31.88
  12.89   13.07    1.30   32.56
  13.16   13.01    1.24   33.23
  13.43   13.36    1.74   33.91
  13.70   14.14    2.32   34.59
  13.97   14.64    2.76   35.27
  14.23   14.90    3.06   35.95
  14.50   14.92    3.17   36.62
  14.77   14.52    3.19   37.30
  15.04   14.14    3.38   37.98
  15.31   13.65    3.67   38.66
  15.58   12.63    3.98   39.34
  15.85   12.33    4.19   40.02
  16.11   11.72    4.49   40.69
  16.38   10.55    4.47   41.37
  16.65    9.40    4.17   42.05
  16.92    7.87    3.65   42.73
  17.19    7.07    3.18   43.41
  17.46    7.71    2.71   44.09
  17.73    8.15    2.52   44.76
  17.99    7.39    2.15   45.44
  18.26    6.51    1.81   46.12
  18.53    5.09    1.47   46.80
  18.80    3.62    1.54   47.48
  19.07    2.22    1.42   48.15
  19.34    1.12    1.37   48.83
  19.61    0.57    1.23   49.51
  19.87   -0.23    1.08   50.19
